"n","method","DE_pattern","sensitivity"
100,"TOAST","1_2_1",0
100,"CARseq","1_2_1",0.012
100,"TOAST","1_2_1",0
100,"TOAST","1_2_1",0
100,"CARseq","1_2_1",0.012
100,"TOAST","1_2_1",0.0025
100,"TOAST","1_2_1",0
100,"CARseq","1_2_1",0.0095
100,"TOAST","1_2_1",0.01
100,"TOAST","1_2_1",0.002
100,"CARseq","1_2_1",0.0165
100,"TOAST","1_2_1",0.013
100,"TOAST","1_2_1",0.0055
100,"CARseq","1_2_1",0.0135
100,"TOAST","1_2_1",0.0085
100,"TOAST","1_2_1",0.0035
100,"CARseq","3_1_1",0.514
100,"TOAST","3_1_1",0.251
100,"TOAST","3_1_1",0.3695
100,"CARseq","3_1_1",0.624
100,"TOAST","3_1_1",0.2935
100,"TOAST","3_1_1",0.355
100,"CARseq","3_1_1",0.5315
100,"TOAST","3_1_1",0.259
100,"TOAST","3_1_1",0.3375
100,"CARseq","3_1_1",0.51
100,"TOAST","3_1_1",0.252
100,"TOAST","3_1_1",0.259
100,"CARseq","3_1_1",0.504
100,"TOAST","3_1_1",0.2625
100,"TOAST","3_1_1",0.322
100,"CARseq","3_1_1",0.5675
100,"TOAST","3_1_1",0.3205
100,"TOAST","3_1_1",0.296
100,"CARseq","3_1_1",0.507
100,"TOAST","3_1_1",0.2385
100,"TOAST","3_1_1",0.18
100,"CARseq","3_1_1",0.5275
100,"TOAST","3_1_1",0.2595
100,"TOAST","3_1_1",0.2755
100,"CARseq","3_1_1",0.5695
100,"TOAST","3_1_1",0.276
100,"TOAST","3_1_1",0.311
100,"CARseq","3_1_1",0.6045
100,"TOAST","3_1_1",0.3305
100,"TOAST","3_1_1",0.4015
100,"CARseq","3_3_1",0.3215
100,"TOAST","3_3_1",0.16975
100,"TOAST","3_3_1",0.22725
100,"CARseq","3_3_1",0.26025
100,"TOAST","3_3_1",0.1405
100,"TOAST","3_3_1",0.1565
100,"CARseq","3_3_1",0.2585
100,"TOAST","3_3_1",0.12625
100,"TOAST","3_3_1",0.174
100,"CARseq","3_3_1",0.286
100,"TOAST","3_3_1",0.135
100,"TOAST","3_3_1",0.09925
100,"CARseq","3_3_1",0.27375
100,"TOAST","3_3_1",0.15075
100,"TOAST","3_3_1",0.14425
100,"CARseq","3_3_1",0.31525
100,"TOAST","3_3_1",0.15525
100,"TOAST","3_3_1",0.147
100,"CARseq","3_3_1",0.30475
100,"TOAST","3_3_1",0.14275
100,"TOAST","3_3_1",0.10775
100,"CARseq","3_3_1",0.32775
100,"TOAST","3_3_1",0.187
100,"TOAST","3_3_1",0.20725
100,"CARseq","3_3_1",0.28375
100,"TOAST","3_3_1",0.17525
100,"TOAST","3_3_1",0.164
100,"CARseq","3_3_1",0.30275
100,"TOAST","3_3_1",0.14625
100,"TOAST","3_3_1",0.13775
100,"CARseq","3_0.333_1",0.2035
100,"TOAST","3_0.333_1",0.1095
100,"TOAST","3_0.333_1",0.06075
100,"CARseq","3_0.333_1",0.25775
100,"TOAST","3_0.333_1",0.15525
100,"TOAST","3_0.333_1",0.10925
100,"CARseq","3_0.333_1",0.284
100,"TOAST","3_0.333_1",0.134
100,"TOAST","3_0.333_1",0.19275
100,"CARseq","3_0.333_1",0.252
100,"TOAST","3_0.333_1",0.10625
100,"TOAST","3_0.333_1",0.1095
100,"CARseq","3_0.333_1",0.29525
100,"TOAST","3_0.333_1",0.163
100,"TOAST","3_0.333_1",0.16725
100,"CARseq","3_0.333_1",0.31
100,"TOAST","3_0.333_1",0.14975
100,"TOAST","3_0.333_1",0.186
100,"CARseq","3_0.333_1",0.23825
100,"TOAST","3_0.333_1",0.11725
100,"TOAST","3_0.333_1",0.12375
100,"CARseq","3_0.333_1",0.293
100,"TOAST","3_0.333_1",0.15075
100,"TOAST","3_0.333_1",0.148
100,"CARseq","3_0.333_1",0.2985
100,"TOAST","3_0.333_1",0.16175
100,"TOAST","3_0.333_1",0.1805
100,"CARseq","3_0.333_1",0.2655
100,"TOAST","3_0.333_1",0.13175
100,"TOAST","3_0.333_1",0.1705
100,"CARseq","1_3_1",0.0985
100,"TOAST","1_3_1",0.0715
100,"TOAST","1_3_1",0.04
100,"CARseq","1_3_1",0.104
100,"TOAST","1_3_1",0.066
100,"TOAST","1_3_1",0.045
100,"CARseq","1_3_1",0.0595
100,"TOAST","1_3_1",0.0505
100,"TOAST","1_3_1",0.062
100,"CARseq","1_3_1",0.092
100,"TOAST","1_3_1",0.061
100,"TOAST","1_3_1",0.042
100,"CARseq","1_3_1",0.103
100,"TOAST","1_3_1",0.083
100,"TOAST","1_3_1",0.0625
100,"CARseq","1_3_1",0.09
100,"TOAST","1_3_1",0.0665
100,"TOAST","1_3_1",0.0395
100,"CARseq","1_3_1",0.086
100,"TOAST","1_3_1",0.039
100,"TOAST","1_3_1",0.01
100,"CARseq","1_3_1",0.071
100,"TOAST","1_3_1",0.0395
100,"TOAST","1_3_1",0.0205
100,"CARseq","1_3_1",0.0755
100,"TOAST","1_3_1",0.062
100,"TOAST","1_3_1",0.046
100,"CARseq","1_3_1",0.088
100,"TOAST","1_3_1",0.036
100,"TOAST","1_3_1",0.0145
100,"CARseq","4_1_1",0.707
100,"TOAST","4_1_1",0.408
100,"TOAST","4_1_1",0.4215
100,"CARseq","4_1_1",0.588
100,"TOAST","4_1_1",0.3265
100,"TOAST","4_1_1",0.324
100,"CARseq","4_1_1",0.675
100,"TOAST","4_1_1",0.4945
100,"TOAST","4_1_1",0.4075
100,"CARseq","4_1_1",0.6595
100,"TOAST","4_1_1",0.3735
100,"TOAST","4_1_1",0.497
100,"CARseq","4_1_1",0.696
100,"TOAST","4_1_1",0.3105
100,"TOAST","4_1_1",0.3695
100,"CARseq","4_1_1",0.6355
100,"TOAST","4_1_1",0.351
100,"TOAST","4_1_1",0.2695
100,"CARseq","4_1_1",0.7085
100,"TOAST","4_1_1",0.404
100,"TOAST","4_1_1",0.5075
100,"CARseq","4_1_1",0.7965
100,"TOAST","4_1_1",0.5045
100,"TOAST","4_1_1",0.3395
100,"CARseq","4_1_1",0.731
100,"TOAST","4_1_1",0.4475
100,"TOAST","4_1_1",0.504
100,"CARseq","4_1_1",0.799
100,"TOAST","4_1_1",0.5235
100,"TOAST","4_1_1",0.527
100,"CARseq","4_4_1",0.367
100,"TOAST","4_4_1",0.18575
100,"TOAST","4_4_1",0.15625
100,"CARseq","4_4_1",0.34775
100,"TOAST","4_4_1",0.1715
100,"TOAST","4_4_1",0.17175
100,"CARseq","4_4_1",0.42
100,"TOAST","4_4_1",0.24675
100,"TOAST","4_4_1",0.23275
100,"CARseq","4_4_1",0.391
100,"TOAST","4_4_1",0.25675
100,"TOAST","4_4_1",0.28575
100,"CARseq","4_4_1",0.33525
100,"TOAST","4_4_1",0.18225
100,"TOAST","4_4_1",0.19925
100,"CARseq","4_4_1",0.3915
100,"TOAST","4_4_1",0.198
100,"TOAST","4_4_1",0.2165
100,"CARseq","4_4_1",0.3795
100,"TOAST","4_4_1",0.1835
100,"TOAST","4_4_1",0.1945
100,"CARseq","4_4_1",0.41575
100,"TOAST","4_4_1",0.2445
100,"TOAST","4_4_1",0.2145
100,"CARseq","4_4_1",0.41175
100,"TOAST","4_4_1",0.2395
100,"TOAST","4_4_1",0.283
100,"CARseq","4_4_1",0.337
100,"TOAST","4_4_1",0.23225
100,"TOAST","4_4_1",0.267
100,"CARseq","4_0.25_1",0.31775
100,"TOAST","4_0.25_1",0.1705
100,"TOAST","4_0.25_1",0.23725
100,"CARseq","4_0.25_1",0.355
100,"TOAST","4_0.25_1",0.17825
100,"TOAST","4_0.25_1",0.2405
100,"CARseq","4_0.25_1",0.35175
100,"TOAST","4_0.25_1",0.2115
100,"TOAST","4_0.25_1",0.239
100,"CARseq","4_0.25_1",0.3775
100,"TOAST","4_0.25_1",0.20775
100,"TOAST","4_0.25_1",0.18625
100,"CARseq","4_0.25_1",0.35175
100,"TOAST","4_0.25_1",0.21925
100,"TOAST","4_0.25_1",0.25125
100,"CARseq","4_0.25_1",0.3725
100,"TOAST","4_0.25_1",0.2205
100,"TOAST","4_0.25_1",0.21475
100,"CARseq","4_0.25_1",0.3725
100,"TOAST","4_0.25_1",0.20325
100,"TOAST","4_0.25_1",0.22675
100,"CARseq","4_0.25_1",0.37275
100,"TOAST","4_0.25_1",0.241
100,"TOAST","4_0.25_1",0.24925
100,"CARseq","4_0.25_1",0.3655
100,"TOAST","4_0.25_1",0.21725
100,"TOAST","4_0.25_1",0.10875
100,"CARseq","4_0.25_1",0.34175
100,"TOAST","4_0.25_1",0.1865
100,"TOAST","4_0.25_1",0.18975
100,"CARseq","1_4_1",0.126
100,"TOAST","1_4_1",0.1075
100,"TOAST","1_4_1",0.0815
100,"CARseq","1_4_1",0.19
100,"TOAST","1_4_1",0.141
100,"TOAST","1_4_1",0.122
100,"CARseq","1_4_1",0.22
100,"TOAST","1_4_1",0.1475
100,"TOAST","1_4_1",0.1175
100,"CARseq","1_4_1",0.167
100,"TOAST","1_4_1",0.127
100,"TOAST","1_4_1",0.101
100,"CARseq","1_4_1",0.1735
100,"TOAST","1_4_1",0.1365
100,"TOAST","1_4_1",0.1305
100,"CARseq","1_4_1",0.1745
100,"TOAST","1_4_1",0.1525
100,"TOAST","1_4_1",0.042
100,"CARseq","1_4_1",0.169
100,"TOAST","1_4_1",0.1055
100,"TOAST","1_4_1",0.061
100,"CARseq","1_4_1",0.193
100,"TOAST","1_4_1",0.1735
100,"TOAST","1_4_1",0.0395
100,"CARseq","1_4_1",0.1595
100,"TOAST","1_4_1",0.125
100,"TOAST","1_4_1",0.128
100,"CARseq","1_4_1",0.2405
100,"TOAST","1_4_1",0.1985
100,"TOAST","1_4_1",0.119
200,"CARseq","2_1_1",0.478
200,"TOAST","2_1_1",0.226
200,"TOAST","2_1_1",0.2605
200,"CARseq","2_1_1",0.3955
200,"TOAST","2_1_1",0.2085
200,"TOAST","2_1_1",0.195
200,"CARseq","2_1_1",0.562
200,"TOAST","2_1_1",0.294
200,"TOAST","2_1_1",0.375
200,"CARseq","2_1_1",0.4225
200,"TOAST","2_1_1",0.23
200,"TOAST","2_1_1",0.1975
200,"CARseq","2_1_1",0.3975
200,"TOAST","2_1_1",0.16
200,"TOAST","2_1_1",0.2615
200,"CARseq","2_1_1",0.46
