"","CARseq_Astro.ASD","CARseq_Exc.ASD","CARseq_Inh.ASD","CARseq_Micro.ASD","CARseq_Oligo.ASD","CARseq_OPC.ASD"
"CARseq_Astro.SCZ",0.16593660599499,-0.0284796541611441,-0.0192988081446895,0.0859687571219251,0.0721148631382587,0.0259011297221613
"CARseq_Exc.SCZ",-0.0138385719010143,-0.00514995573128967,-0.0231012646488763,0.00210233989801553,0.00465950258300559,-0.0043879730827585
"CARseq_Inh.SCZ",-0.0526059003895862,0.102099314341345,0.127356916924103,-0.120588420707481,-0.0292108468078388,0.0341182728646504
"CARseq_Micro.SCZ",0.107892060280923,-0.0625613139961895,-0.0771388463855703,0.226572172940768,0.0437337549974448,0.0470939900626698
"CARseq_Oligo.SCZ",0.0685882359540064,0.0146549226321407,0.0235130695930648,0.0263448400520771,0.160734608648133,0.0515208197183934
"CARseq_OPC.SCZ",0.087840639232781,0.089220306961497,0.120665242108793,-0.0512540599156564,0.0300553928346688,0.0968216989562871
