"n","method","DE_pattern","sensitivity"
50,"csSAM","1_3_1",0.0095
50,"CARseq","1_3_1",0.0025
50,"TOAST","1_3_1",0
50,"TOAST","1_3_1",0.003
50,"csSAM","1_3_1",0.003
50,"CARseq","1_3_1",0.0015
50,"TOAST","1_3_1",0.002
50,"TOAST","1_3_1",0
50,"csSAM","1_3_1",0.0045
50,"CARseq","1_3_1",0.023
50,"TOAST","1_3_1",0.01
50,"TOAST","1_3_1",0.0115
50,"csSAM","1_3_1",0.011
50,"CARseq","1_3_1",0.001
50,"TOAST","1_3_1",0.001
50,"TOAST","1_3_1",0.001
50,"csSAM","1_3_1",0.0035
50,"CARseq","1_3_1",0.0025
50,"TOAST","1_3_1",0.0035
50,"TOAST","1_3_1",0.001
50,"csSAM","1_3_1",0.001
50,"CARseq","4_1_1",0.3485
50,"TOAST","4_1_1",0.1795
50,"TOAST","4_1_1",0.192
50,"csSAM","4_1_1",0.0785
50,"CARseq","4_1_1",0.1855
50,"TOAST","4_1_1",0.097
50,"TOAST","4_1_1",0.106
50,"csSAM","4_1_1",0.109
50,"CARseq","4_1_1",0.351
50,"TOAST","4_1_1",0.188
50,"TOAST","4_1_1",0.0735
50,"csSAM","4_1_1",0.1225
50,"CARseq","4_1_1",0.3075
50,"TOAST","4_1_1",0.151
50,"TOAST","4_1_1",0.021
50,"csSAM","4_1_1",0.063
50,"CARseq","4_1_1",0.353
50,"TOAST","4_1_1",0.1695
50,"TOAST","4_1_1",0.219
50,"csSAM","4_1_1",0.0925
50,"CARseq","4_1_1",0.375
50,"TOAST","4_1_1",0.192
50,"TOAST","4_1_1",0.0155
50,"csSAM","4_1_1",0.0945
50,"CARseq","4_1_1",0.485
50,"TOAST","4_1_1",0.215
50,"TOAST","4_1_1",0.251
50,"csSAM","4_1_1",0.1035
50,"CARseq","4_1_1",0.4
50,"TOAST","4_1_1",0.2395
50,"TOAST","4_1_1",0.2465
50,"csSAM","4_1_1",0.1625
50,"CARseq","4_1_1",0.375
50,"TOAST","4_1_1",0.177
50,"TOAST","4_1_1",0.121
50,"csSAM","4_1_1",0.0975
50,"CARseq","4_1_1",0.2385
50,"TOAST","4_1_1",0.084
50,"TOAST","4_1_1",0.103
50,"csSAM","4_1_1",0.1005
50,"CARseq","4_4_1",0.20525
50,"TOAST","4_4_1",0.1015
50,"TOAST","4_4_1",0.0585
50,"csSAM","4_4_1",0.085
50,"CARseq","4_4_1",0.22225
50,"TOAST","4_4_1",0.1285
50,"TOAST","4_4_1",0.0345
50,"csSAM","4_4_1",0.0515
50,"CARseq","4_4_1",0.18875
50,"TOAST","4_4_1",0.11375
50,"TOAST","4_4_1",0.0765
50,"csSAM","4_4_1",0.0865
50,"CARseq","4_4_1",0.116
50,"TOAST","4_4_1",0.06225
50,"TOAST","4_4_1",0.109
50,"csSAM","4_4_1",0.0755
50,"CARseq","4_4_1",0.19975
50,"TOAST","4_4_1",0.11075
50,"TOAST","4_4_1",0.08025
50,"csSAM","4_4_1",0.0615
50,"CARseq","4_4_1",0.21575
50,"TOAST","4_4_1",0.11625
50,"TOAST","4_4_1",0.1035
50,"csSAM","4_4_1",0.035
50,"CARseq","4_4_1",0.1405
50,"TOAST","4_4_1",0.04675
50,"TOAST","4_4_1",0.0235
50,"csSAM","4_4_1",0.05725
50,"CARseq","4_4_1",0.1475
50,"TOAST","4_4_1",0.06275
50,"TOAST","4_4_1",0.0495
50,"csSAM","4_4_1",0.02725
50,"CARseq","4_4_1",0.2015
50,"TOAST","4_4_1",0.08625
50,"TOAST","4_4_1",0.105
50,"csSAM","4_4_1",0.068
50,"CARseq","4_4_1",0.22825
50,"TOAST","4_4_1",0.11675
50,"TOAST","4_4_1",0.166
50,"csSAM","4_4_1",0.0505
50,"CARseq","4_0.25_1",0.22225
50,"TOAST","4_0.25_1",0.13425
50,"TOAST","4_0.25_1",0.2015
50,"csSAM","4_0.25_1",0.1205
50,"CARseq","4_0.25_1",0.14125
50,"TOAST","4_0.25_1",0.07675
50,"TOAST","4_0.25_1",0.04925
50,"csSAM","4_0.25_1",0.04975
50,"CARseq","4_0.25_1",0.23075
50,"TOAST","4_0.25_1",0.09575
50,"TOAST","4_0.25_1",0.1595
50,"csSAM","4_0.25_1",0.06
50,"CARseq","4_0.25_1",0.19725
50,"TOAST","4_0.25_1",0.10775
50,"TOAST","4_0.25_1",0.099
50,"csSAM","4_0.25_1",0.0495
50,"CARseq","4_0.25_1",0.19925
50,"TOAST","4_0.25_1",0.10925
50,"TOAST","4_0.25_1",0.118
50,"csSAM","4_0.25_1",0.028
50,"CARseq","4_0.25_1",0.12225
50,"TOAST","4_0.25_1",0.054
50,"TOAST","4_0.25_1",0.04475
50,"csSAM","4_0.25_1",0.07725
50,"CARseq","4_0.25_1",0.17875
50,"TOAST","4_0.25_1",0.0995
50,"TOAST","4_0.25_1",0.1125
50,"csSAM","4_0.25_1",0.0555
50,"CARseq","4_0.25_1",0.175
50,"TOAST","4_0.25_1",0.09475
50,"TOAST","4_0.25_1",0.04425
50,"csSAM","4_0.25_1",0.082
50,"CARseq","4_0.25_1",0.17425
50,"TOAST","4_0.25_1",0.07625
50,"TOAST","4_0.25_1",5e-04
50,"csSAM","4_0.25_1",0.064
50,"CARseq","4_0.25_1",0.1605
50,"TOAST","4_0.25_1",0.07975
50,"TOAST","4_0.25_1",0.09125
50,"csSAM","4_0.25_1",0.04925
50,"CARseq","1_4_1",0.0355
50,"TOAST","1_4_1",0.0275
50,"TOAST","1_4_1",0.025
50,"csSAM","1_4_1",0.0125
50,"CARseq","1_4_1",0.0325
50,"TOAST","1_4_1",0.0395
50,"TOAST","1_4_1",0.0015
50,"csSAM","1_4_1",0.0265
50,"CARseq","1_4_1",0.0195
50,"TOAST","1_4_1",0.008
50,"TOAST","1_4_1",0.014
50,"csSAM","1_4_1",0.0175
50,"CARseq","1_4_1",0.0265
50,"TOAST","1_4_1",0.023
50,"TOAST","1_4_1",0.004
50,"csSAM","1_4_1",0.021
50,"CARseq","1_4_1",0.024
50,"TOAST","1_4_1",0.0105
50,"TOAST","1_4_1",0.001
50,"csSAM","1_4_1",0.022
50,"CARseq","1_4_1",0.042
50,"TOAST","1_4_1",0.022
50,"TOAST","1_4_1",0
50,"csSAM","1_4_1",0.0275
50,"CARseq","1_4_1",0.0205
50,"TOAST","1_4_1",0.0125
50,"TOAST","1_4_1",0.015
50,"csSAM","1_4_1",0.016
50,"CARseq","1_4_1",0.055
50,"TOAST","1_4_1",0.032
50,"TOAST","1_4_1",0.004
50,"csSAM","1_4_1",0.0505
50,"CARseq","1_4_1",0.0725
50,"TOAST","1_4_1",0.064
50,"TOAST","1_4_1",0.082
50,"csSAM","1_4_1",0.0545
50,"CARseq","1_4_1",0.038
50,"TOAST","1_4_1",0.022
50,"TOAST","1_4_1",0.012
50,"csSAM","1_4_1",0.0335
100,"CARseq","2_1_1",0.1495
100,"TOAST","2_1_1",0.065
100,"TOAST","2_1_1",0.0295
100,"csSAM","2_1_1",0.041
100,"CARseq","2_1_1",0.148
100,"TOAST","2_1_1",0.06
100,"TOAST","2_1_1",0.045
100,"csSAM","2_1_1",0.0265
100,"CARseq","2_1_1",0.109
100,"TOAST","2_1_1",0.055
100,"TOAST","2_1_1",0.0565
100,"csSAM","2_1_1",0.0215
100,"CARseq","2_1_1",0.164
100,"TOAST","2_1_1",0.082
100,"TOAST","2_1_1",0.0795
100,"csSAM","2_1_1",0.044
100,"CARseq","2_1_1",0.163
100,"TOAST","2_1_1",0.098
100,"TOAST","2_1_1",0.079
100,"csSAM","2_1_1",0.017
100,"CARseq","2_1_1",0.146
100,"TOAST","2_1_1",0.0715
100,"TOAST","2_1_1",0.0825
100,"csSAM","2_1_1",0.0375
100,"CARseq","2_1_1",0.137
100,"TOAST","2_1_1",0.07
100,"TOAST","2_1_1",0.031
100,"csSAM","2_1_1",0.0165
100,"CARseq","2_1_1",0.1145
100,"TOAST","2_1_1",0.065
100,"TOAST","2_1_1",0.0965
100,"csSAM","2_1_1",0.0125
100,"CARseq","2_1_1",0.1515
100,"TOAST","2_1_1",0.073
100,"TOAST","2_1_1",0.1405
100,"csSAM","2_1_1",0.0065
100,"CARseq","2_1_1",0.169
100,"TOAST","2_1_1",0.084
100,"TOAST","2_1_1",0.086
100,"csSAM","2_1_1",0.0415
100,"CARseq","2_2_1",0.11125
100,"TOAST","2_2_1",0.064
100,"TOAST","2_2_1",0.06575
100,"csSAM","2_2_1",0.01975
100,"CARseq","2_2_1",0.1315
100,"TOAST","2_2_1",0.06475
100,"TOAST","2_2_1",0.09325
100,"csSAM","2_2_1",0.0105
100,"CARseq","2_2_1",0.0665
100,"TOAST","2_2_1",0.0315
100,"TOAST","2_2_1",0.016
100,"csSAM","2_2_1",0.019
100,"CARseq","2_2_1",0.078
100,"TOAST","2_2_1",0.03875
100,"TOAST","2_2_1",0.0365
100,"csSAM","2_2_1",0.03125
100,"CARseq","2_2_1",0.0725
100,"TOAST","2_2_1",0.024
100,"TOAST","2_2_1",0.09075
100,"csSAM","2_2_1",0.01075
100,"CARseq","2_2_1",0.04125
100,"TOAST","2_2_1",0.02
100,"TOAST","2_2_1",0.00475
100,"csSAM","2_2_1",0.0115
100,"CARseq","2_2_1",0.14125
100,"TOAST","2_2_1",0.064
100,"TOAST","2_2_1",0.06675
100,"csSAM","2_2_1",0.015
100,"CARseq","2_2_1",0.106
100,"TOAST","2_2_1",0.06725
100,"TOAST","2_2_1",0.03775
100,"csSAM","2_2_1",0.006
100,"CARseq","2_2_1",0.051
100,"TOAST","2_2_1",0.0245
100,"TOAST","2_2_1",0.00675
100,"csSAM","2_2_1",0.0105
100,"CARseq","2_2_1",0.1005
100,"TOAST","2_2_1",0.03725
100,"TOAST","2_2_1",0.02
100,"csSAM","2_2_1",0.00325
100,"CARseq","2_0.5_1",0.1005
100,"TOAST","2_0.5_1",0.051
100,"TOAST","2_0.5_1",0.06675
100,"csSAM","2_0.5_1",0.024
100,"CARseq","2_0.5_1",0.07375
100,"TOAST","2_0.5_1",0.0565
100,"TOAST","2_0.5_1",0.0405
100,"csSAM","2_0.5_1",0.0025
100,"CARseq","2_0.5_1",0.07925
100,"TOAST","2_0.5_1",0.036
100,"TOAST","2_0.5_1",0.03775
100,"csSAM","2_0.5_1",0.02
100,"CARseq","2_0.5_1",0.08875
100,"TOAST","2_0.5_1",0.0325
100,"TOAST","2_0.5_1",0.04325
100,"csSAM","2_0.5_1",0.03275
100,"CARseq","2_0.5_1",0.071
100,"TOAST","2_0.5_1",0.035
100,"TOAST","2_0.5_1",0.033
100,"csSAM","2_0.5_1",0.012
100,"CARseq","2_0.5_1",0.073
100,"TOAST","2_0.5_1",0.045
100,"TOAST","2_0.5_1",0.027
100,"csSAM","2_0.5_1",0.001
100,"CARseq","2_0.5_1",0.048
100,"TOAST","2_0.5_1",0.02175
100,"TOAST","2_0.5_1",0.0035
100,"csSAM","2_0.5_1",0.00925
100,"CARseq","2_0.5_1",0.16225
100,"TOAST","2_0.5_1",0.073
100,"TOAST","2_0.5_1",0.11725
100,"csSAM","2_0.5_1",0.04
100,"CARseq","2_0.5_1",0.07125
100,"TOAST","2_0.5_1",0.0295
100,"TOAST","2_0.5_1",0.0285
100,"csSAM","2_0.5_1",0.04175
100,"CARseq","2_0.5_1",0.09825
100,"TOAST","2_0.5_1",0.04175
100,"TOAST","2_0.5_1",0.03475
100,"csSAM","2_0.5_1",0.011
100,"CARseq","1_2_1",0.0025
100,"TOAST","1_2_1",0.0025
100,"TOAST","1_2_1",0
100,"csSAM","1_2_1",5e-04
100,"CARseq","1_2_1",5e-04
100,"TOAST","1_2_1",0
100,"TOAST","1_2_1",5e-04
100,"csSAM","1_2_1",0.002
100,"CARseq","1_2_1",0.007
100,"TOAST","1_2_1",0.0075
100,"TOAST","1_2_1",0.0065
100,"csSAM","1_2_1",0.004
100,"CARseq","1_2_1",0.001
100,"TOAST","1_2_1",0.0035
100,"TOAST","1_2_1",0
100,"csSAM","1_2_1",0
100,"CARseq","1_2_1",0.003
100,"TOAST","1_2_1",0.0025
100,"TOAST","1_2_1",0
100,"csSAM","1_2_1",0.0035
100,"CARseq","1_2_1",0.005
100,"TOAST","1_2_1",5e-04
100,"TOAST","1_2_1",0
100,"csSAM","1_2_1",0.0045
100,"CARseq","1_2_1",0.0045
100,"TOAST","1_2_1",0.002
100,"TOAST","1_2_1",0.001
100,"csSAM","1_2_1",0.013
100,"CARseq","1_2_1",0.0025
100,"TOAST","1_2_1",0.004
100,"TOAST","1_2_1",0.001
100,"csSAM","1_2_1",0.007
100,"CARseq","1_2_1",0.0015
100,"TOAST","1_2_1",0.004
100,"TOAST","1_2_1",0.0015
100,"csSAM","1_2_1",0.0015
100,"CARseq","1_2_1",0.003
100,"TOAST","1_2_1",0.004
100,"TOAST","1_2_1",0.0015
100,"csSAM","1_2_1",0.0075
100,"CARseq","3_1_1",0.3995
100,"TOAST","3_1_1",0.249
100,"TOAST","3_1_1",0.363
100,"csSAM","3_1_1",0.206
100,"CARseq","3_1_1",0.4655
100,"TOAST","3_1_1",0.3025
100,"TOAST","3_1_1",0.412
100,"csSAM","3_1_1",0.1755
100,"CARseq","3_1_1",0.3895
100,"TOAST","3_1_1",0.2355
100,"TOAST","3_1_1",0.2965
100,"csSAM","3_1_1",0.1935
100,"CARseq","3_1_1",0.4095
100,"TOAST","3_1_1",0.252
100,"TOAST","3_1_1",0.283
100,"csSAM","3_1_1",0.186
100,"CARseq","3_1_1",0.378
100,"TOAST","3_1_1",0.2455
100,"TOAST","3_1_1",0.301
100,"csSAM","3_1_1",0.176
100,"CARseq","3_1_1",0.44
100,"TOAST","3_1_1",0.2945
100,"TOAST","3_1_1",0.317
100,"csSAM","3_1_1",0.179
100,"CARseq","3_1_1",0.3585
100,"TOAST","3_1_1",0.212
100,"TOAST","3_1_1",0.161
100,"csSAM","3_1_1",0.171
100,"CARseq","3_1_1",0.4395
100,"TOAST","3_1_1",0.2565
100,"TOAST","3_1_1",0.3015
100,"csSAM","3_1_1",0.1335
100,"CARseq","3_1_1",0.41
100,"TOAST","3_1_1",0.262
100,"TOAST","3_1_1",0.3175
100,"csSAM","3_1_1",0.149
100,"CARseq","3_1_1",0.4795
100,"TOAST","3_1_1",0.336
100,"TOAST","3_1_1",0.385
100,"csSAM","3_1_1",0.1255
100,"CARseq","3_3_1",0.2615
100,"TOAST","3_3_1",0.1875
100,"TOAST","3_3_1",0.2165
100,"csSAM","3_3_1",0.10475
100,"CARseq","3_3_1",0.184
100,"TOAST","3_3_1",0.122
100,"TOAST","3_3_1",0.13325
100,"csSAM","3_3_1",0.06325
100,"CARseq","3_3_1",0.207
100,"TOAST","3_3_1",0.12
100,"TOAST","3_3_1",0.202
100,"csSAM","3_3_1",0.0805
100,"CARseq","3_3_1",0.224
100,"TOAST","3_3_1",0.12625
100,"TOAST","3_3_1",0.12975
100,"csSAM","3_3_1",0.09475
100,"CARseq","3_3_1",0.21975
100,"TOAST","3_3_1",0.13775
100,"TOAST","3_3_1",0.137
100,"csSAM","3_3_1",0.07475
100,"CARseq","3_3_1",0.2605
100,"TOAST","3_3_1",0.152
100,"TOAST","3_3_1",0.16475
100,"csSAM","3_3_1",0.12025
100,"CARseq","3_3_1",0.244
100,"TOAST","3_3_1",0.14775
100,"TOAST","3_3_1",0.125
100,"csSAM","3_3_1",0.06725
100,"CARseq","3_3_1",0.23525
100,"TOAST","3_3_1",0.1495
100,"TOAST","3_3_1",0.19075
100,"csSAM","3_3_1",0.09875
100,"CARseq","3_3_1",0.21625
100,"TOAST","3_3_1",0.164
100,"TOAST","3_3_1",0.138
100,"csSAM","3_3_1",0.08775
100,"CARseq","3_3_1",0.24275
100,"TOAST","3_3_1",0.13175
100,"TOAST","3_3_1",0.13475
100,"csSAM","3_3_1",0.06725
100,"CARseq","3_0.333_1",0.141
100,"TOAST","3_0.333_1",0.08625
100,"TOAST","3_0.333_1",0.0635
100,"csSAM","3_0.333_1",0.09075
100,"CARseq","3_0.333_1",0.208
100,"TOAST","3_0.333_1",0.14275
100,"TOAST","3_0.333_1",0.13675
100,"csSAM","3_0.333_1",0.0965
100,"CARseq","3_0.333_1",0.2035
100,"TOAST","3_0.333_1",0.1185
100,"TOAST","3_0.333_1",0.1745
100,"csSAM","3_0.333_1",0.103
100,"CARseq","3_0.333_1",0.18225
100,"TOAST","3_0.333_1",0.09025
100,"TOAST","3_0.333_1",0.09325
100,"csSAM","3_0.333_1",0.09625
100,"CARseq","3_0.333_1",0.23425
