"n","method","DE_pattern","sensitivity"
50,"CARseq","2_1_1",0.046
50,"TOAST","2_1_1",0.007
50,"TOAST","2_1_1",0
50,"csSAM","2_1_1",5e-04
50,"CARseq","2_1_1",0.0525
50,"TOAST","2_1_1",0.018
50,"TOAST","2_1_1",0
50,"csSAM","2_1_1",0.0045
50,"CARseq","2_1_1",0.0185
50,"TOAST","2_1_1",0.001
50,"TOAST","2_1_1",0
50,"csSAM","2_1_1",0
50,"CARseq","2_1_1",0.0025
50,"TOAST","2_1_1",0.007
50,"TOAST","2_1_1",5e-04
50,"csSAM","2_1_1",0
50,"CARseq","2_1_1",0.0785
50,"TOAST","2_1_1",0.0165
50,"TOAST","2_1_1",0.0095
50,"csSAM","2_1_1",0.003
50,"CARseq","2_1_1",0.0305
50,"TOAST","2_1_1",5e-04
50,"TOAST","2_1_1",5e-04
50,"csSAM","2_1_1",0
50,"CARseq","2_1_1",0.043
50,"TOAST","2_1_1",0.013
50,"TOAST","2_1_1",0
50,"csSAM","2_1_1",0.0035
50,"CARseq","2_1_1",0.014
50,"TOAST","2_1_1",0
50,"TOAST","2_1_1",0.006
50,"csSAM","2_1_1",0.038
50,"CARseq","2_1_1",0.0365
50,"TOAST","2_1_1",0.003
50,"TOAST","2_1_1",0
50,"csSAM","2_1_1",0.0085
50,"CARseq","2_1_1",0.005
50,"TOAST","2_1_1",0.003
50,"TOAST","2_1_1",0
50,"csSAM","2_1_1",0.002
50,"CARseq","2_2_1",0.05475
50,"TOAST","2_2_1",0.008
50,"TOAST","2_2_1",0.00525
50,"csSAM","2_2_1",0.0015
50,"CARseq","2_2_1",0.0625
50,"TOAST","2_2_1",0.01
50,"TOAST","2_2_1",0.0045
50,"csSAM","2_2_1",0.0035
50,"CARseq","2_2_1",0.02425
50,"TOAST","2_2_1",0.0025
50,"TOAST","2_2_1",0
50,"csSAM","2_2_1",0.0295
50,"CARseq","2_2_1",0.02825
50,"TOAST","2_2_1",0.00625
50,"TOAST","2_2_1",0.00025
50,"csSAM","2_2_1",0.00925
50,"CARseq","2_2_1",0.02075
50,"TOAST","2_2_1",0.00775
50,"TOAST","2_2_1",0.0065
50,"csSAM","2_2_1",5e-04
50,"CARseq","2_2_1",0.028
50,"TOAST","2_2_1",0.0065
50,"TOAST","2_2_1",0.02525
50,"csSAM","2_2_1",0.00725
50,"CARseq","2_2_1",0.034
50,"TOAST","2_2_1",0.013
50,"TOAST","2_2_1",0.00025
50,"csSAM","2_2_1",0
50,"CARseq","2_2_1",0.07025
50,"TOAST","2_2_1",0.02475
50,"TOAST","2_2_1",0.0145
50,"csSAM","2_2_1",0.00625
50,"CARseq","2_2_1",0.00175
50,"TOAST","2_2_1",0
50,"TOAST","2_2_1",0
50,"csSAM","2_2_1",0.00475
50,"CARseq","2_2_1",0.02225
50,"TOAST","2_2_1",0.00025
50,"TOAST","2_2_1",0
50,"csSAM","2_2_1",0.00025
50,"CARseq","2_0.5_1",0.0205
50,"TOAST","2_0.5_1",0.0055
50,"TOAST","2_0.5_1",0.00125
50,"csSAM","2_0.5_1",0.00025
50,"CARseq","2_0.5_1",0.01375
50,"TOAST","2_0.5_1",0.00375
50,"TOAST","2_0.5_1",0.00825
50,"csSAM","2_0.5_1",0.0015
50,"CARseq","2_0.5_1",0.0015
50,"TOAST","2_0.5_1",0.001
50,"TOAST","2_0.5_1",0
50,"csSAM","2_0.5_1",0
50,"CARseq","2_0.5_1",0.00525
50,"TOAST","2_0.5_1",0.00425
50,"TOAST","2_0.5_1",0
50,"csSAM","2_0.5_1",0.00625
50,"CARseq","2_0.5_1",0.0415
50,"TOAST","2_0.5_1",0.01625
50,"TOAST","2_0.5_1",0.00025
50,"csSAM","2_0.5_1",0.00575
50,"CARseq","2_0.5_1",0.021
50,"TOAST","2_0.5_1",0.0025
50,"TOAST","2_0.5_1",0
50,"csSAM","2_0.5_1",0.00025
50,"CARseq","2_0.5_1",0.00025
50,"TOAST","2_0.5_1",0.00025
50,"TOAST","2_0.5_1",0
50,"csSAM","2_0.5_1",0.00625
50,"CARseq","2_0.5_1",0.028
50,"TOAST","2_0.5_1",0.00375
50,"TOAST","2_0.5_1",0.00675
50,"csSAM","2_0.5_1",0.00075
50,"CARseq","2_0.5_1",0.01875
50,"TOAST","2_0.5_1",0.00675
50,"TOAST","2_0.5_1",5e-04
50,"csSAM","2_0.5_1",0.04325
50,"CARseq","2_0.5_1",0.00325
50,"TOAST","2_0.5_1",0.00025
50,"TOAST","2_0.5_1",0
50,"csSAM","2_0.5_1",0.00025
50,"CARseq","1_2_1",0
50,"TOAST","1_2_1",0
50,"TOAST","1_2_1",0
50,"csSAM","1_2_1",0
50,"CARseq","1_2_1",0.001
50,"TOAST","1_2_1",5e-04
50,"TOAST","1_2_1",0
50,"csSAM","1_2_1",5e-04
50,"CARseq","1_2_1",0.0015
50,"TOAST","1_2_1",0
50,"TOAST","1_2_1",5e-04
50,"csSAM","1_2_1",0.0435
50,"CARseq","1_2_1",5e-04
50,"TOAST","1_2_1",5e-04
50,"TOAST","1_2_1",0
50,"csSAM","1_2_1",0
50,"CARseq","1_2_1",0
50,"TOAST","1_2_1",0.0015
50,"TOAST","1_2_1",0.0015
50,"csSAM","1_2_1",5e-04
50,"CARseq","1_2_1",5e-04
50,"TOAST","1_2_1",0.001
50,"TOAST","1_2_1",5e-04
50,"csSAM","1_2_1",0
50,"CARseq","1_2_1",0
50,"TOAST","1_2_1",0
50,"TOAST","1_2_1",0
50,"csSAM","1_2_1",0.0025
50,"CARseq","1_2_1",5e-04
50,"TOAST","1_2_1",0
50,"TOAST","1_2_1",0
50,"csSAM","1_2_1",0
50,"CARseq","1_2_1",5e-04
50,"TOAST","1_2_1",5e-04
50,"TOAST","1_2_1",5e-04
50,"csSAM","1_2_1",0
50,"CARseq","1_2_1",0
50,"TOAST","1_2_1",0
50,"TOAST","1_2_1",0
50,"csSAM","1_2_1",5e-04
50,"CARseq","3_1_1",0.1015
50,"TOAST","3_1_1",0.0255
50,"TOAST","3_1_1",0.02
50,"csSAM","3_1_1",0.0075
50,"CARseq","3_1_1",0.2585
50,"TOAST","3_1_1",0.1215
50,"TOAST","3_1_1",0.073
50,"csSAM","3_1_1",0.048
50,"CARseq","3_1_1",0.178
50,"TOAST","3_1_1",0.0725
50,"TOAST","3_1_1",0.0915
50,"csSAM","3_1_1",0.037
50,"CARseq","3_1_1",0.113
50,"TOAST","3_1_1",0.0405
50,"TOAST","3_1_1",0.005
50,"csSAM","3_1_1",0.06
50,"CARseq","3_1_1",0.1625
50,"TOAST","3_1_1",0.0725
50,"TOAST","3_1_1",0.143
50,"csSAM","3_1_1",0.029
50,"CARseq","3_1_1",0.0965
50,"TOAST","3_1_1",0.0235
50,"TOAST","3_1_1",0.001
50,"csSAM","3_1_1",0.022
50,"CARseq","3_1_1",0.225
50,"TOAST","3_1_1",0.0965
50,"TOAST","3_1_1",0.0475
50,"csSAM","3_1_1",0.046
50,"CARseq","3_1_1",0.2215
50,"TOAST","3_1_1",0.12
50,"TOAST","3_1_1",0.1865
50,"csSAM","3_1_1",0.055
50,"CARseq","3_1_1",0.271
50,"TOAST","3_1_1",0.0955
50,"TOAST","3_1_1",0.122
50,"csSAM","3_1_1",0.0255
50,"CARseq","3_1_1",0.186
50,"TOAST","3_1_1",0.0615
50,"TOAST","3_1_1",0.0085
50,"csSAM","3_1_1",0.0415
50,"CARseq","3_3_1",0.0925
50,"TOAST","3_3_1",0.023
50,"TOAST","3_3_1",0.02575
50,"csSAM","3_3_1",0.027
50,"CARseq","3_3_1",0.03
50,"TOAST","3_3_1",0.0175
50,"TOAST","3_3_1",0.0185
50,"csSAM","3_3_1",0.0045
50,"CARseq","3_3_1",0.07025
50,"TOAST","3_3_1",0.0315
50,"TOAST","3_3_1",0.00025
50,"csSAM","3_3_1",0.02275
50,"CARseq","3_3_1",0.11575
50,"TOAST","3_3_1",0.0485
50,"TOAST","3_3_1",0.01
50,"csSAM","3_3_1",0.04725
50,"CARseq","3_3_1",0.0855
50,"TOAST","3_3_1",0.0155
50,"TOAST","3_3_1",5e-04
50,"csSAM","3_3_1",0.0425
50,"CARseq","3_3_1",0.09225
50,"TOAST","3_3_1",0.03275
50,"TOAST","3_3_1",0.01
50,"csSAM","3_3_1",0.02
50,"CARseq","3_3_1",0.0725
50,"TOAST","3_3_1",0.043
50,"TOAST","3_3_1",5e-04
50,"csSAM","3_3_1",0.03525
50,"CARseq","3_3_1",0.083
50,"TOAST","3_3_1",0.0415
50,"TOAST","3_3_1",0.0325
50,"csSAM","3_3_1",0.01625
50,"CARseq","3_3_1",0.1285
50,"TOAST","3_3_1",0.06975
50,"TOAST","3_3_1",0.065
50,"csSAM","3_3_1",0.0495
50,"CARseq","3_3_1",0.1775
50,"TOAST","3_3_1",0.037
50,"TOAST","3_3_1",0.01925
50,"csSAM","3_3_1",0.0455
50,"CARseq","3_0.333_1",0.13325
50,"TOAST","3_0.333_1",0.06425
50,"TOAST","3_0.333_1",0.033
50,"csSAM","3_0.333_1",0.01575
50,"CARseq","3_0.333_1",0.0895
50,"TOAST","3_0.333_1",0.031
50,"TOAST","3_0.333_1",0.04825
50,"csSAM","3_0.333_1",0.037
50,"CARseq","3_0.333_1",0.17525
50,"TOAST","3_0.333_1",0.07525
50,"TOAST","3_0.333_1",0.04775
50,"csSAM","3_0.333_1",0.0225
50,"CARseq","3_0.333_1",0.0865
50,"TOAST","3_0.333_1",0.03425
50,"TOAST","3_0.333_1",0.01675
50,"csSAM","3_0.333_1",0.03775
50,"CARseq","3_0.333_1",0.06375
50,"TOAST","3_0.333_1",0.025
50,"TOAST","3_0.333_1",0.0095
50,"csSAM","3_0.333_1",0.0015
50,"CARseq","3_0.333_1",0.12225
50,"TOAST","3_0.333_1",0.05325
50,"TOAST","3_0.333_1",0.06875
50,"csSAM","3_0.333_1",0.0405
50,"CARseq","3_0.333_1",0.08325
50,"TOAST","3_0.333_1",0.045
50,"TOAST","3_0.333_1",0.0125
50,"csSAM","3_0.333_1",0.0285
50,"CARseq","3_0.333_1",0.122
50,"TOAST","3_0.333_1",0.0965
50,"TOAST","3_0.333_1",0.06325
50,"csSAM","3_0.333_1",0.0195
50,"CARseq","3_0.333_1",0.106
50,"TOAST","3_0.333_1",0.03
50,"TOAST","3_0.333_1",0.06075
50,"csSAM","3_0.333_1",0.00625
50,"CARseq","3_0.333_1",0.11525
50,"TOAST","3_0.333_1",0.043
50,"TOAST","3_0.333_1",0.10975
50,"csSAM","3_0.333_1",0.059
50,"CARseq","1_3_1",0.024
50,"TOAST","1_3_1",0.015
50,"TOAST","1_3_1",5e-04
50,"csSAM","1_3_1",0.0105
50,"CARseq","1_3_1",0.008
50,"TOAST","1_3_1",0.001
50,"TOAST","1_3_1",0
50,"csSAM","1_3_1",0.0045
50,"CARseq","1_3_1",0.0235
50,"TOAST","1_3_1",0.008
50,"TOAST","1_3_1",0
50,"csSAM","1_3_1",0.0515
50,"CARseq","1_3_1",0.0255
50,"TOAST","1_3_1",0.0515
50,"TOAST","1_3_1",0.0235
50,"csSAM","1_3_1",0.0205
50,"CARseq","1_3_1",0.0135
50,"TOAST","1_3_1",0.0055
50,"TOAST","1_3_1",0.0055
