"","samples","group","cell type","cellular proportions"
"59","MSSM_RNA_PFC_110","Control","Oligo",0.073707169675113
"60","MSSM_RNA_PFC_110","Control","OPC",0.0473087319664266
"61","MSSM_RNA_PFC_111","Control","Astro",0.135582848758309
"62","MSSM_RNA_PFC_111","Control","Exc",0.563140100440541
"63","MSSM_RNA_PFC_111","Control","Inh",0.105841334728146
"64","MSSM_RNA_PFC_111","Control","Micro",0.0345342588947936
"65","MSSM_RNA_PFC_111","Control","Oligo",0.104704567846716
"66","MSSM_RNA_PFC_111","Control","OPC",0.0561968893314929
"67","MSSM_RNA_PFC_112","Control","Astro",0.135889123182907
"68","MSSM_RNA_PFC_112","Control","Exc",0.622063321613016
"69","MSSM_RNA_PFC_112","Control","Inh",0.157869534366069
"70","MSSM_RNA_PFC_112","Control","Micro",0.0065276190903971
"71","MSSM_RNA_PFC_112","Control","Oligo",0.038713871481287
"72","MSSM_RNA_PFC_112","Control","OPC",0.0389365302663236
"73","MSSM_RNA_PFC_113","Control","Astro",0.103147295975054
"74","MSSM_RNA_PFC_113","Control","Exc",0.628909902744314
"75","MSSM_RNA_PFC_113","Control","Inh",0.087333579607861
"76","MSSM_RNA_PFC_113","Control","Micro",0.0260617164426865
"77","MSSM_RNA_PFC_113","Control","Oligo",0.123765832169442
"78","MSSM_RNA_PFC_113","Control","OPC",0.0307816730606431
"79","MSSM_RNA_PFC_114","SCZ","Astro",0.130117851397933
"80","MSSM_RNA_PFC_114","SCZ","Exc",0.523260991317856
"81","MSSM_RNA_PFC_114","SCZ","Inh",0.122990398972103
"82","MSSM_RNA_PFC_114","SCZ","Micro",0.0350244255391207
"83","MSSM_RNA_PFC_114","SCZ","Oligo",0.143062854200803
"84","MSSM_RNA_PFC_114","SCZ","OPC",0.0455434785721848
"85","MSSM_RNA_PFC_116","Control","Astro",0.211156170743663
"86","MSSM_RNA_PFC_116","Control","Exc",0.472299483744211
"87","MSSM_RNA_PFC_116","Control","Inh",0.113014489211652
"88","MSSM_RNA_PFC_116","Control","Micro",0.0247543166017762
"89","MSSM_RNA_PFC_116","Control","Oligo",0.077707512398158
"90","MSSM_RNA_PFC_116","Control","OPC",0.10106802730054
"91","MSSM_RNA_PFC_117","Control","Astro",0.135688033072258
"92","MSSM_RNA_PFC_117","Control","Exc",0.519837876209478
"93","MSSM_RNA_PFC_117","Control","Inh",0.143408143012439
"94","MSSM_RNA_PFC_117","Control","Micro",0.0227405952066547
"95","MSSM_RNA_PFC_117","Control","Oligo",0.13484768562391
"96","MSSM_RNA_PFC_117","Control","OPC",0.0434776668752613
"97","MSSM_RNA_PFC_118","Control","Astro",0.0993007732143324
"98","MSSM_RNA_PFC_118","Control","Exc",0.676967621394171
"99","MSSM_RNA_PFC_118","Control","Inh",0.104214150693587
"100","MSSM_RNA_PFC_118","Control","Micro",0.0289194766487179
"101","MSSM_RNA_PFC_118","Control","Oligo",0.0684413719960417
"102","MSSM_RNA_PFC_118","Control","OPC",0.0221566060531501
"103","MSSM_RNA_PFC_119","Control","Astro",0.102431084777897
"104","MSSM_RNA_PFC_119","Control","Exc",0.634593704889116
"105","MSSM_RNA_PFC_119","Control","Inh",0.136499448253709
"106","MSSM_RNA_PFC_119","Control","Micro",0.0183073976277901
"107","MSSM_RNA_PFC_119","Control","Oligo",0.0634695995863181
"108","MSSM_RNA_PFC_119","Control","OPC",0.0446987648651703
"109","MSSM_RNA_PFC_12","SCZ","Astro",0.114328130340979
"110","MSSM_RNA_PFC_12","SCZ","Exc",0.676144477282767
"111","MSSM_RNA_PFC_12","SCZ","Inh",0.0867460241891456
"112","MSSM_RNA_PFC_12","SCZ","Micro",0.0183557968751696
"113","MSSM_RNA_PFC_12","SCZ","Oligo",0.0728523224181926
"114","MSSM_RNA_PFC_12","SCZ","OPC",0.031573248893746
"115","MSSM_RNA_PFC_120","Control","Astro",0.0992543998564352
"116","MSSM_RNA_PFC_120","Control","Exc",0.658304624009289
"117","MSSM_RNA_PFC_120","Control","Inh",0.117261277436109
"118","MSSM_RNA_PFC_120","Control","Micro",0.015133825762428
"119","MSSM_RNA_PFC_120","Control","Oligo",0.0771708670163343
"120","MSSM_RNA_PFC_120","Control","OPC",0.0328750059194053
"121","MSSM_RNA_PFC_121","Control","Astro",0.161145856593327
"122","MSSM_RNA_PFC_121","Control","Exc",0.550880097302984
"123","MSSM_RNA_PFC_121","Control","Inh",0.119672632934086
"124","MSSM_RNA_PFC_121","Control","Micro",0.031391019486364
"125","MSSM_RNA_PFC_121","Control","Oligo",0.0837186338145092
"126","MSSM_RNA_PFC_121","Control","OPC",0.0531917598687301
"127","MSSM_RNA_PFC_122","Control","Astro",0.167553812778123
"128","MSSM_RNA_PFC_122","Control","Exc",0.613307652223691
"129","MSSM_RNA_PFC_122","Control","Inh",0.0670972288884352
"130","MSSM_RNA_PFC_122","Control","Micro",0.0337075104555085
"131","MSSM_RNA_PFC_122","Control","Oligo",0.0701489761023203
"132","MSSM_RNA_PFC_122","Control","OPC",0.0481848195519216
"133","MSSM_RNA_PFC_123","Control","Astro",0.154803206070605
"134","MSSM_RNA_PFC_123","Control","Exc",0.652178412612336
"135","MSSM_RNA_PFC_123","Control","Inh",0.0745718743899158
"136","MSSM_RNA_PFC_123","Control","Micro",0.0260843770585268
"137","MSSM_RNA_PFC_123","Control","Oligo",0.06504541509933
"138","MSSM_RNA_PFC_123","Control","OPC",0.0273167147692862
"139","MSSM_RNA_PFC_124","Control","Astro",0.160672893341932
"140","MSSM_RNA_PFC_124","Control","Exc",0.537193065329485
"141","MSSM_RNA_PFC_124","Control","Inh",0.0930039508818444
"142","MSSM_RNA_PFC_124","Control","Micro",0.0101604170646986
"143","MSSM_RNA_PFC_124","Control","Oligo",0.129125720285957
"144","MSSM_RNA_PFC_124","Control","OPC",0.0698439530960838
"145","MSSM_RNA_PFC_125","Control","Astro",0.134720410030936
"146","MSSM_RNA_PFC_125","Control","Exc",0.596320117657851
"147","MSSM_RNA_PFC_125","Control","Inh",0.118218584342738
"148","MSSM_RNA_PFC_125","Control","Micro",0.0338910260862098
"149","MSSM_RNA_PFC_125","Control","Oligo",0.074406853268609
"150","MSSM_RNA_PFC_125","Control","OPC",0.0424430086136566
"151","MSSM_RNA_PFC_126","Control","Astro",0.147309767625029
"152","MSSM_RNA_PFC_126","Control","Exc",0.590502554931541
"153","MSSM_RNA_PFC_126","Control","Inh",0.141858585371507
"154","MSSM_RNA_PFC_126","Control","Micro",0.0162514873326911
"155","MSSM_RNA_PFC_126","Control","Oligo",0.066773786556566
"156","MSSM_RNA_PFC_126","Control","OPC",0.0373038181826668
"157","MSSM_RNA_PFC_127","Control","Astro",0.151967248134705
"158","MSSM_RNA_PFC_127","Control","Exc",0.531052130515289
"159","MSSM_RNA_PFC_127","Control","Inh",0.149070813000595
"160","MSSM_RNA_PFC_127","Control","Micro",0.021035331793366
"161","MSSM_RNA_PFC_127","Control","Oligo",0.104302554915552
"162","MSSM_RNA_PFC_127","Control","OPC",0.0425719216404931
"163","MSSM_RNA_PFC_128","Control","Astro",0.152095128384073
"164","MSSM_RNA_PFC_128","Control","Exc",0.517051903922539
"165","MSSM_RNA_PFC_128","Control","Inh",0.134589722778498
"166","MSSM_RNA_PFC_128","Control","Micro",0.0223433528705205
"167","MSSM_RNA_PFC_128","Control","Oligo",0.113611040132004
"168","MSSM_RNA_PFC_128","Control","OPC",0.0603088519123659
