"n","method","DE_pattern","ratio_of_sensitivity"
"50","w/ covariates","3_0.333_1",0.278260869565217
"50","w/ covariates","3_0.333_1",0.285229202037351
"50","w/ covariates","1_3_1",0.267441860465116
"50","w/ covariates","1_3_1",0.0204081632653061
"50","w/ covariates","1_3_1",0.0163934426229508
"50","w/ covariates","1_3_1",0.010989010989011
"50","w/ covariates","1_3_1",0
"50","w/ covariates","1_3_1",0
"50","w/ covariates","1_3_1",0.307692307692308
"50","w/ covariates","1_3_1",0.157142857142857
"50","w/ covariates","1_3_1",0.230769230769231
"50","w/ covariates","1_3_1",0
"50","w/ covariates","4_1_1",0.384910485933504
"50","w/ covariates","4_1_1",0.33615221987315
"50","w/ covariates","4_1_1",0.444214876033058
"50","w/ covariates","4_1_1",0.28110599078341
"50","w/ covariates","4_1_1",0.338389731621937
"50","w/ covariates","4_1_1",0.400234741784038
"50","w/ covariates","4_1_1",0.302977232924694
"50","w/ covariates","4_1_1",0.40359168241966
"50","w/ covariates","4_1_1",0.393209200438116
"50","w/ covariates","4_1_1",0.367886178861789
"50","w/ covariates","4_4_1",0.420345489443378
"50","w/ covariates","4_4_1",0.432932469935245
"50","w/ covariates","4_4_1",0.369200394866733
"50","w/ covariates","4_4_1",0.326865671641791
"50","w/ covariates","4_4_1",0.376430205949657
"50","w/ covariates","4_4_1",0.36214953271028
"50","w/ covariates","4_4_1",0.320512820512821
"50","w/ covariates","4_4_1",0.363376251788269
"50","w/ covariates","4_4_1",0.467315716272601
"50","w/ covariates","4_4_1",0.32363315696649
"50","w/ covariates","4_0.25_1",0.437262357414449
"50","w/ covariates","4_0.25_1",0.522364217252396
"50","w/ covariates","4_0.25_1",0.254782608695652
"50","w/ covariates","4_0.25_1",0.313824419778002
"50","w/ covariates","4_0.25_1",0.385474860335196
"50","w/ covariates","4_0.25_1",0.300335570469799
"50","w/ covariates","4_0.25_1",0.361932938856016
"50","w/ covariates","4_0.25_1",0.352637021716649
"50","w/ covariates","4_0.25_1",0.260450160771704
"50","w/ covariates","4_0.25_1",0.403508771929825
"50","w/ covariates","1_4_1",0.408163265306122
"50","w/ covariates","1_4_1",0.701388888888889
"50","w/ covariates","1_4_1",0.127450980392157
"50","w/ covariates","1_4_1",0.415929203539823
"50","w/ covariates","1_4_1",0.514018691588785
"50","w/ covariates","1_4_1",0.297709923664122
"50","w/ covariates","1_4_1",0.228813559322034
"50","w/ covariates","1_4_1",0.240343347639485
"50","w/ covariates","1_4_1",0.585365853658537
"50","w/ covariates","1_4_1",0.464285714285714
"100","w/ covariates","2_1_1",0.445333333333333
"100","w/ covariates","2_1_1",0.397402597402597
"100","w/ covariates","2_1_1",0.412532637075718
"100","w/ covariates","2_1_1",0.470459518599562
"100","w/ covariates","2_1_1",0.424
"100","w/ covariates","2_1_1",0.486567164179104
"100","w/ covariates","2_1_1",0.494444444444444
"100","w/ covariates","2_1_1",0.213114754098361
"100","w/ covariates","2_1_1",0.440677966101695
"100","w/ covariates","2_1_1",0.327906976744186
"100","w/ covariates","2_2_1",0.408376963350785
"100","w/ covariates","2_2_1",0.459842519685039
"100","w/ covariates","2_2_1",0.480132450331126
"100","w/ covariates","2_2_1",0.42350332594235
"100","w/ covariates","2_2_1",0.391812865497076
