baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	qvalue
ENSG00000000003	209.040585742587	-0.022568050435334	0.0288927765984443	-0.781096630101972	0.434745663778212	0.745533759906599	0.548570540289174
ENSG00000000419	662.013774163891	-0.02222450583342	0.0190925454570818	-1.1640410066525	0.244407394027271	0.589747610047973	0.43394167035279
ENSG00000000457	260.667974605383	-0.00457716435014359	0.0188963666080464	-0.242224573913303	0.808606154693888	0.936332511992944	0.688962002282282
ENSG00000000460	222.907015364046	-0.0638322298975224	0.0190084847010612	-3.35809144712934	0.000784826441246393	0.0363362406695546	0.0267365372946655
ENSG00000000938	64.3858509769285	-0.0309915216478101	0.0659530207565017	-0.469902989921125	0.63842432805904	0.864822424846301	0.636344227941554
ENSG00000000971	592.138449630477	-0.0663029623002884	0.0634623561472652	-1.04476048992621	0.296133679809722	0.637737624262764	0.46925316051199
ENSG00000001036	197.421588997215	0.00154185679458488	0.0221945302483323	0.0694701251764827	0.944615411841097	0.982751951590929	0.72311784931378
ENSG00000001084	1086.50893281757	0.00394406942846123	0.0173842692394052	0.226875767634865	0.820520345378417	0.940244580768785	0.691840538168142
ENSG00000001167	651.777993184489	0.0217603891303356	0.015262524994313	1.42573978672885	0.153943467383362	0.486179642740554	0.35773541540117
ENSG00000001460	305.101227171518	0.00661927057916303	0.0206955273693593	0.319840633245383	0.749089143363097	0.914014504445152	0.672540208773958
ENSG00000001461	2414.76117791122	0.0224963734517235	0.0217819338253146	1.03279964176452	0.301697671433133	0.64338235471399	0.473406604661593
ENSG00000001497	392.672914063596	0.00784783328081536	0.0216712779826643	0.362130617635616	0.717254424609138	0.899719269257893	0.662021644341386
ENSG00000001561	2978.45806134385	0.0100822716977473	0.0188209900251022	0.535692951555697	0.592170775750679	0.840009417544622	0.61808659085831
ENSG00000001617	48.7281584138536	0.1167798386664	0.05528862773543	2.11218551535084	0.0346705404016458	0.241993878029386	0.178061302594645
ENSG00000001626	52.5477790439569	0.0270051558665696	0.0482975964108474	0.559140782842444	0.576065643430678	0.830599805020284	0.611162912141152
