Astro	Exc	Inh	Micro	Oligo	OPC
ENSG00000000003	0.365492355566838	0.956448471565706	0.558409471342335	0.268021124876871	0.416211229427333	0.423650832859191
ENSG00000000419	0.242661458540325	0.534738080031722	0.93821208917721	0.238469931929083	0.991072958853825	0.225188829318726
ENSG00000000457	0.872180047492474	0.601955499923567	0.839812247990823	0.531970360053649	0.153144092193033	0.950986936459922
ENSG00000000460	0.958391021684668	0.758702159574757	0.480342743754358	0.683357270905932	0.529319519498723	0.553543854957878
ENSG00000000938	0.661536367724175	0.795035016333632	0.559365339317192	0.696183515585683	0.702971668585522	0.188555200155673
ENSG00000000971	0.21540193954693	0.723966623878211	0.527999884497294	0.531503993277414	0.155807467560464	0.0637837537093121
ENSG00000001036	0.978323208494492	0.325110702396985	0.160626041443656	0.815980778966365	0.678848077228552	0.84403121418975
ENSG00000001084	0.873650212212756	0.310731510159339	0.919436235125406	0.987356494477186	0.405664665888133	0.851216927863526
ENSG00000001167	0.854284827657505	0.675998270111037	0.732536265014819	0.785779190882727	0.342715425227117	0.881368113612891
ENSG00000001460	0.761954595093417	0.507835692735455	0.961439285614366	0.110510057773001	0.688679114385575	0.708678387785267
ENSG00000001461	0.574892702039801	0.694414772054823	0.592317969188473	0.56454816622224	0.421236701071939	0.8059785304579
ENSG00000001497	0.958910527769415	0.189456509800894	0.504986290064066	0.673794105523576	0.343832231889686	0.965507451247986
ENSG00000001561	0.308872733497352	0.758879996887746	0.590333682075695	0.718861695312507	0.0691107111218026	0.329626899202013
ENSG00000001617	0.972105742313536	0.37232534424056	0.341450372326998	0.071381404756052	0.863094051952424	0.58718825286819
ENSG00000001626	0.695018882514795	0.598674582129594	0.739851143111106	0.547726082699642	0.958577120053478	0.869172015690968
ENSG00000001629	0.841169110338591	0.571324041669255	0.719786961954333	0.468860419309398	0.0803937056408561	0.845675505401016
ENSG00000001630	0.175974687880548	0.430194575307309	0.809229970987563	0.636798680026561	0.851837201610689	0.181851703239977
ENSG00000001631	0.916384358319121	0.679501282119438	0.747632048992617	0.645121397561333	0.425484646766579	0.394032276768686
ENSG00000002016	0.965568617895175	0.623001488987497	0.242590569827421	0.736924610101152	0.641799439723855	0.960833118236234
ENSG00000002079	0.811880085061354	0.793345494909229	0.626268200006236	0.889783332914182	0.567568640961605	0.829044895483941
ENSG00000002330	0.224861160299415	0.954168718355019	0.832654542009794	0.368494830711924	0.306140411479174	0.185650622018756
ENSG00000002549	0.706473795317593	0.988860890437469	0.923213188263983	0.645242738134477	0.511038759534889	0.775286020626644
ENSG00000002586	0.832850626420323	0.414241729595897	0.800922982455427	0.518321607995234	0.600080607826464	0.3357193913831
ENSG00000002587	0.970642166880648	0.939787025491489	0.464533942611807	0.511503476138568	0.70508919655548	0.565590018065307
ENSG00000002745	0.645659314023425	0.712075697273099	0.580779176212256	0.922000227020716	0.507133355958613	0.47147523142654
ENSG00000002746	0.652166960915578	0.93121603530945	0.642061981292116	0.178467757844925	0.530189507876067	0.890301800876431
ENSG00000002822	0.788470706266805	0.920056200071997	0.794044522525346	0.867452562848477	0.492936404357517	0.921131347393218
ENSG00000002834	0.982636779970337	0.839356462538953	0.804068580365825	0.679513223774032	0.409293550240357	0.983630264818144
ENSG00000002919	0.479461220012242	0.994746875352041	0.694304579193237	0.958747982568195	0.155945394413104	0.697408967845899
ENSG00000002933	0.802819770980448	0.681828069095708	0.517678781337492	0.773190071638648	0.668748695490681	0.398565526611385
ENSG00000003056	0.764107630586952	0.0779553317781839	0.206115727614101	0.805996951945545	0.655879444468963	0.998092855075425
ENSG00000003096	0.336832833606837	0.867406939146386	0.144549823523042	0.229580267298036	0.229570576014546	0.453975484393753
ENSG00000003137	0.728543301219472	0.918810789302179	0.568743652987116	0.628274317402573	0.211958819001738	0.633407384995731
ENSG00000003147	0.866014437401815	0.145927299075089	0.314916612097271	0.934903511122105	0.0491032594379314	0.90134754059267
ENSG00000003249	0.594424516841396	0.946435699946761	0.987087456800492	0.954075639722963	0.727459143658622	0.56847379914198
ENSG00000003393	0.801281014302329	0.773063455157596	0.607257388737447	0.927922296734733	0.312376211403712	0.645853797003538
ENSG00000003400	0.710845464043333	0.540109059559449	0.834730115134044	0.320197012272821	0.479445933306888	0.608901544502412
ENSG00000003402	0.540785529965525	0.1784733803619	0.805148967395672	0.652683315433386	0.914260673990118	0.697968491759309
ENSG00000003436	0.17838162937883	0.748480253056518	0.740567331849338	0.811785733912672	0.822120781782826	0.264192955775189
ENSG00000003509	0.868062511372937	0.410956267716918	0.630605246127775	0.428284318788664	0.668187535687427	0.435195691422386
ENSG00000003756	0.671250167036433	0.251431457723687	0.532900389733941	0.656501320539123	0.325474782782595	0.979529363744327
ENSG00000003987	0.889077349092728	0.87337355631472	0.377462843926788	0.969905278752308	0.812818596548911	0.852928700162176
ENSG00000003989	0.55979631437151	0.493569235255022	0.964958696163141	0.623190342697709	0.500084183520768	0.878807285030085
ENSG00000004059	0.288349374056023	0.477244854357271	0.923714627526967	0.498969456549724	0.198637052540486	0.400644617340719
ENSG00000004139	0.928342409981877	0.661159585413601	0.849922114517347	0.674820895832181	0.213008039000636	0.757194781142706
ENSG00000004142	0.31719349391077	0.819382887379553	0.497955996249682	0.726847536540373	0.481978520874423	0.184566425317033
ENSG00000004399	0.405366555650609	0.338699484737559	0.618641141671154	0.830254107415628	0.5827321236311	0.344899287697068
ENSG00000004455	0.761761819557383	0.152141272151504	0.356483360333887	0.30162599720823	0.105099697898346	0.997103374618634
ENSG00000004468	0.179399247600628	0.0713644813115879	0.132293269126893	0.812514771799234	0.562653334608177	0.24036012397614
ENSG00000004478	0.987176921872501	0.54759551037261	0.906793070156417	0.853789786649898	0.575142467011003	0.654714220200533
ENSG00000004487	0.488558574519956	0.22444833393139	0.763817440502713	0.633354281233917	0.255069998276069	0.770932677083631
ENSG00000004534	0.839571812253458	0.658358842626028	0.847830357503383	0.580375355971019	0.638071796011753	0.932134665944139
ENSG00000004660	0.792294211702243	0.61130397425923	0.931140282508192	0.649900128823741	0.44717766578439	0.559521178255085
ENSG00000004700	0.950106798156851	0.135061720069766	0.296295226446537	0.877956944815214	0.192532109635272	0.928529276670506
ENSG00000004766	0.443128287582849	0.743419441099517	0.741550526281583	0.942895505038586	0.0331132882146951	0.529808716295985
