n,DE_pattern,DE_pattern_index,replicate,method,sensitivity,fdr,number_of_true_discoveries_ct1,number_of_true_discoveries_ct2,number_of_true_discoveries_ct3,number_of_discoveries_ct1,number_of_discoveries_ct2,number_of_discoveries_ct3,power_ct1,power_ct2,power_ct3,type_I_error_ct1,type_I_error_ct2,type_I_error_ct3
200,1_3_1,4,1,TOAST_TPM_with_RIN,0.2625,0.0608228980322003,0,525,0,0,559,0,0.045,0.4045,0.046,0.044625,0.04425,0.04425
200,1_3_1,4,1,TOAST_TPM_without_RIN,0.2425,0.206219312602291,3,485,0,6,605,0,0.184,0.3805,0.0525,0.185625,0.11425,0.05
200,1_3_1,4,1,csSAM,0.117,0.130111524163569,0,234,0,0,269,0,NA,NA,NA,NA,NA,NA
200,4_1_1,1,1,CARseq_with_RIN,0.926,0.0772296960637768,1852,0,0,2007,0,0,0.9485,0.031,0.037,0.047,0.040625,0.047875
200,4_1_1,1,1,CARseq_without_RIN,0.8895,0.040453074433657,1779,0,0,1854,0,0,0.933,0.0275,0.0435,0.031503937992249,0.0290036254531816,0.0452556569571196
200,4_1_1,1,1,CIBERSORTx_with_B_mode,0.846,0.424489795918367,1692,221,783,1812,226,902,0.846,0.113,0.392,0.0401694649301742,0.0179720434879077,0.0618742819629083
200,4_1_1,1,1,CIBERSORTx_with_B_mode_without_RIN,0.846,0.409836065573771,1692,219,779,1796,224,847,0.846,0.112,0.392,0.0345206339243684,0.0179720434879077,0.0438207779419005
200,4_1_1,1,1,CIBERSORTx_without_B_mode,0.9165,0.41344,1833,214,815,1970,221,934,0.9165,0.1085,0.408,0.0436198838691403,0.0151578947368421,0.0567718556545372
200,4_1_1,1,1,CIBERSORTx_without_B_mode_without_RIN,0.9165,0.399606943989518,1833,210,812,1956,214,883,0.9165,0.1085,0.408,0.0363971108908087,0.0145263157894737,0.0436358145855353
200,4_1_1,1,1,TOAST_with_RIN,0.843,0.0695364238410596,1686,0,0,1812,0,0,0.884,0.0245,0.055,0.044625,0.035625,0.045625
200,4_1_1,1,1,TOAST_without_RIN,0.8035,0.0468564650059312,1607,0,0,1686,0,0,0.865,0.018,0.028,0.028625,0.02625,0.02675
200,4_1_1,1,1,TOAST_TPM_with_RIN,0.852,0.0823909531502424,1704,0,0,1857,0,0,0.898,0.05,0.08,0.044,0.043625,0.050625
200,4_1_1,1,1,TOAST_TPM_without_RIN,0.8115,0.0430424528301887,1623,0,0,1696,0,0,0.8765,0.0435,0.056,0.026875,0.04025,0.0435
200,4_1_1,1,1,csSAM,0.639,0.0310841546626232,1278,1,0,1318,1,0,NA,NA,NA,NA,NA,NA
200,4_4_1,2,1,CARseq_with_RIN,0.56275,0.0748047677764078,1781,470,0,1940,493,0,0.9275,0.37,0.033,0.049375,0.039,0.0475
200,4_4_1,2,1,CARseq_without_RIN,0.51775,0.043859649122807,1740,331,0,1829,337,0,0.9125,0.2945,0.036,0.0347673836918459,0.0226363181590795,0.0361430715357679
