n,DE_pattern,DE_pattern_index,replicate,method,sensitivity,fdr,number_of_true_discoveries_ct1,number_of_true_discoveries_ct2,number_of_true_discoveries_ct3,number_of_true_discoveries_ct4,number_of_true_discoveries_ct5,number_of_true_discoveries_ct6,number_of_discoveries_ct1,number_of_discoveries_ct2,number_of_discoveries_ct3,number_of_discoveries_ct4,number_of_discoveries_ct5,number_of_discoveries_ct6,power_ct1,power_ct2,power_ct3,power_ct4,power_ct5,power_ct6,type_I_error_ct1,type_I_error_ct2,type_I_error_ct3,type_I_error_ct4,type_I_error_ct5,type_I_error_ct6
50,4_1_1,1,202,TOAST_TPM_without_RIN,0.054,0.0181818181818182,0,108,1,0,0,0,0,109,1,0,0,0,0.126,0.332,0.0285,0.034,0.1055,0.041,0.10375,0.0295,0.0275,0.02925,0.083375,0.03
50,4_1_1,1,202,csSAM,0.0925,0.0561224489795918,0,185,1,1,0,0,1,192,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,4_1_1,1,203,CARseq_with_RIN,0.347,0.0856389986824769,0,694,0,0,0,0,0,759,0,0,0,0,0.022,0.5385,0.023,0.0235,0.0245,0.0205,0.0305076269067267,0.0460115028757189,0.035008752188047,0.0310077519379845,0.0387596899224806,0.0306326581645411
50,4_1_1,1,203,CARseq_without_RIN,0.194,0.116173120728929,0,388,5,0,0,0,0,402,37,0,0,0,0.018,0.4315,0.1225,0.019,0.028,0.012,0.022375,0.031625,0.18825,0.029375,0.04575,0.022375
50,4_1_1,1,203,TOAST_TPM_with_RIN,0.138,0.0707070707070707,0,276,0,0,1,0,0,294,0,0,3,0,0.0755,0.3825,0.0395,0.052,0.038,0.0435,0.050125,0.042625,0.04275,0.055875,0.0465,0.0425
50,4_1_1,1,203,TOAST_TPM_without_RIN,0.096,0.887719298245614,1,192,267,0,0,0,1,200,1509,0,0,0,0.046,0.334,0.2465,0.0635,0.0565,0.0375,0.0325,0.03075,0.283875,0.072625,0.05375,0.03275
50,4_1_1,1,203,csSAM,0.1335,0.367298578199052,0,267,56,0,0,0,0,276,146,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,4_1_1,1,204,CARseq_with_RIN,0.1,0.0825688073394495,0,200,0,1,0,0,4,213,0,1,0,0,0.058,0.3325,0.0345,0.033,0.035,0.044,0.0517564695586948,0.0415051881485186,0.0407550943867983,0.0386298287285911,0.0407550943867983,0.0360045005625703
50,4_1_1,1,204,CARseq_without_RIN,0.0215,0.0444444444444444,0,43,0,1,0,0,0,44,0,1,0,0,0.033,0.225,0.0335,0.019,0.039,0.0335,0.0305,0.023,0.035875,0.023625,0.043125,0.02875
50,4_1_1,1,204,TOAST_TPM_with_RIN,0.019,0.155555555555556,1,38,0,0,0,0,1,44,0,0,0,0,0.0575,0.238,0.0445,0.0425,0.0525,0.055,0.04325,0.053,0.044875,0.04225,0.042875,0.052875
50,4_1_1,1,204,TOAST_TPM_without_RIN,0.012,0,0,24,0,0,0,0,0,24,0,0,0,0,0.0305,0.1965,0.046,0.03,0.0515,0.04,0.022125,0.023,0.04725,0.024,0.039,0.033625
50,4_1_1,1,204,csSAM,0.048,0.0495049504950495,0,96,0,1,0,0,0,99,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,4_1_1,1,205,CARseq_with_RIN,0.269,0.0834752981260647,0,538,0,0,0,0,0,587,0,0,0,0,0.0425,0.484,0.029,0.0225,0.0425,0.027,0.047625,0.0475,0.03625,0.030375,0.0385,0.037
50,4_1_1,1,205,CARseq_without_RIN,0.0985,0.0295566502463054,0,197,0,0,0,0,0,203,0,0,0,0,0.0425,0.371,0.033,0.014,0.0235,0.018,0.05,0.032,0.059375,0.021375,0.019625,0.022
50,4_1_1,1,205,TOAST_TPM_with_RIN,0.0795,0.0965909090909091,0,159,0,0,0,0,1,175,0,0,0,0,0.0625,0.3445,0.0355,0.0435,0.038,0.0585,0.058625,0.04425,0.04225,0.045375,0.03925,0.055625
