n,DE_pattern,DE_pattern_index,replicate,method,sensitivity,fdr,number_of_true_discoveries_ct1,number_of_true_discoveries_ct2,number_of_true_discoveries_ct3,number_of_true_discoveries_ct4,number_of_true_discoveries_ct5,number_of_true_discoveries_ct6,number_of_discoveries_ct1,number_of_discoveries_ct2,number_of_discoveries_ct3,number_of_discoveries_ct4,number_of_discoveries_ct5,number_of_discoveries_ct6,power_ct1,power_ct2,power_ct3,power_ct4,power_ct5,power_ct6,type_I_error_ct1,type_I_error_ct2,type_I_error_ct3,type_I_error_ct4,type_I_error_ct5,type_I_error_ct6
50,2_1_1,1,208,TOAST_TPM_without_RIN,0.128,0.636363636363636,0,256,0,1,0,0,1,700,1,2,0,0,0.1125,0.258,0.08,0.1265,0.065,0.029,0.1,0.194,0.0615,0.11475,0.0635,0.03275
50,2_1_1,1,208,csSAM,0.0575,0.564393939393939,0,115,0,0,2,0,2,260,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,209,CARseq_with_RIN,0.0345,0.0921052631578947,0,69,0,0,0,0,0,76,0,0,0,0,0.047,0.249,0.0425,0.0365,0.0325,0.036,0.041,0.051875,0.03675,0.034125,0.041875,0.037375
50,2_1_1,1,209,CARseq_without_RIN,0.012,0.333333333333333,0,24,1,0,0,0,0,26,10,0,0,0,0.069,0.173,0.1175,0.026,0.0205,0.026,0.0843855481935242,0.038254781847731,0.137642205275659,0.0282535316914614,0.0258782347793474,0.0242530316289536
50,2_1_1,1,209,TOAST_TPM_with_RIN,0.0025,0.166666666666667,0,5,0,1,0,0,0,5,0,1,0,0,0.055,0.1865,0.048,0.051,0.054,0.0515,0.0455,0.046125,0.04425,0.050375,0.054125,0.053125
50,2_1_1,1,209,TOAST_TPM_without_RIN,0.0025,0.996066089693155,0,5,245,0,0,0,0,6,1265,0,0,0,0.1335,0.1405,0.2655,0.082,0.025,0.032,0.135375,0.03675,0.283125,0.06275,0.0325,0.031375
50,2_1_1,1,209,csSAM,0.0135,0.8875,0,27,36,0,0,0,2,29,209,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,210,CARseq_with_RIN,0.0055,0,0,11,0,0,0,0,0,11,0,0,0,0,0.0345,0.1835,0.0365,0.0335,0.037,0.048,0.0352544068008501,0.0431303912989124,0.0357544693086636,0.0330041255156895,0.0321290161270159,0.0322540317539692
50,2_1_1,1,210,CARseq_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0175,0.1225,0.0205,0.0235,0.0245,0.03,0.02,0.025875,0.021375,0.021375,0.0215,0.02225
50,2_1_1,1,210,TOAST_TPM_with_RIN,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.053,0.129,0.0435,0.06,0.0515,0.0595,0.044,0.04675,0.04575,0.0455,0.04,0.0405
50,2_1_1,1,210,TOAST_TPM_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0.117,0.027,0.039,0.064,0.0405,0.030375,0.028375,0.028375,0.029875,0.053875,0.03275
50,2_1_1,1,210,csSAM,0.0055,0.153846153846154,0,11,0,0,0,0,0,13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,201,CARseq_with_RIN,0.01,0.0909090909090909,0,20,0,0,0,0,0,20,1,1,0,0,0.0355,0.1865,0.0545,0.0375,0.0415,0.037,0.033125,0.034,0.051875,0.03775,0.033625,0.032625
50,3_1_1,1,201,CARseq_without_RIN,0.0015,0.25,0,3,0,0,0,0,0,3,1,0,0,0,0.025,0.1055,0.029,0.0245,0.0485,0.028,0.02725,0.0165,0.027375,0.02075,0.038375,0.02475
50,3_1_1,1,201,TOAST_TPM_with_RIN,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.043,0.118,0.032,0.0405,0.0465,0.059,0.037875,0.043875,0.0435,0.045375,0.043125,0.05175
