Astro	Exc	Inh	Micro	Oligo	OPC
ENSG00000000003	0.378964371421388	0.594673472026145	0.545417703154727	0.0148823788725209	0.814949738849191	0.630240481914805
ENSG00000000419	0.492582838946078	0.804785526325842	0.747183549221474	0.258735305040818	0.0145841514859679	0.700444316854972
ENSG00000000457	0.769245476148754	0.531894313997973	0.786016810006819	0.00203395636317786	0.029250234391838	0.686224031978432
ENSG00000000460	0.169740570626407	0.340625023696875	0.691546268192267	0.0452205678319591	0.0336664932714393	0.165151249279229
ENSG00000000938	0.870271117171146	0.60402365014529	0.413020923685771	0.797375406994921	0.0297725343701552	0.591908184229188
ENSG00000000971	0.354492344622809	0.163572332657867	0.104369063962622	0.781715505083813	0.568439694531838	0.273895925438554
ENSG00000001036	0.804428937230808	0.821499813420592	0.827994244903792	0.0712724193031249	0.0347410813278663	0.653798330628909
ENSG00000001084	0.473415924064818	0.875207032594369	0.930183651587422	0.175469308993745	0.0927851499231154	0.593103341558109
ENSG00000001167	0.11623103902862	0.568719779496448	0.709101549921571	0.0901016014600378	0.0300118514801068	0.455838034349779
ENSG00000001460	0.0528198786847803	0.642825481380092	0.143207128738408	0.905972144328988	0.00426021608043422	0.527456106726362
ENSG00000001461	0.179347315413763	0.944130369519416	0.285864010679346	0.253301231609054	0.00625453454856985	0.816394548277294
ENSG00000001497	0.778858894659398	0.465915816704211	0.56115673512777	0.481423676970572	0.0832003259867187	0.528151624365336
ENSG00000001561	0.188761269075541	0.629309476023538	0.642897954088294	0.0334760481840154	0.00230580094183416	0.761488444969018
ENSG00000001617	0.804290003049571	0.967608570246765	0.446638064889741	0.106645064119726	0.361111803229089	0.711767125880621
ENSG00000001626	0.966361260554525	0.961088614196893	0.82909709705528	0.507472605112127	0.622821133928823	0.911888674662025
ENSG00000001629	0.0657299579072301	0.305481500758951	0.990123015103241	0.125198813051501	0.0675253190413825	0.244847619214781
ENSG00000001630	0.201774712212054	0.0801843644172029	0.26722839045636	0.55279297128565	0.952450598670665	0.425384925937807
ENSG00000001631	0.00559048720539829	0.514549659710296	0.497495968616195	0.934485384101011	0.00317859129317622	0.278828165153273
ENSG00000002016	0.018840504682945	0.603001103746556	0.696113553802698	0.235932683614969	0.0176225897013607	0.103186219140395
ENSG00000002079	0.873546822027623	0.879315657824902	0.883474066743081	0.756742334076857	0.907284137954532	0.867523750083835
ENSG00000002330	0.153420201287069	0.209575022181889	0.881666696034597	0.59960529622894	0.138991328092671	0.658026053895731
ENSG00000002549	0.137742930058399	0.490032133008387	0.238496663053444	0.00760695270610889	0.744343393303966	0.217908056784921
ENSG00000002586	0.127111781732683	0.421059516938868	0.0268843230901851	0.903392007397917	0.0177078327861371	0.857808754227911
ENSG00000002587	0.24539188669652	0.330821118887427	0.0272529537828084	0.357398572799233	0.00159144558136784	0.898050220810243
ENSG00000002745	0.705392442376845	0.4426135563168	0.586763968322761	0.476835170865958	0.386495588327969	0.842242430719585
ENSG00000002746	0.0439946853699272	0.635115535474598	0.624204720674014	0.86516169761501	0.0294094926546176	0.323703452086011
ENSG00000002822	0.230660054114937	0.712775913169269	0.723627025258065	0.349011547735247	0.199295805844327	0.452698561132026
ENSG00000002834	0.0639374692181726	0.20888270372006	0.690038905088157	0.557563236593416	0.346778938887283	0.0756433039912378
ENSG00000002919	0.784275227946094	0.486045722252765	0.746629486705658	0.0552058118070017	0.208373229084213	0.836733753895928
ENSG00000002933	0.53617913916356	0.109754286295185	0.0411672583520194	0.578901100203723	0.790515893620994	0.684440224895487
ENSG00000003056	0.481328609657985	0.981526674606158	0.61779210941092	0.100332089753455	0.00389661138154001	0.866341276646592
ENSG00000003096	0.432114353706928	0.69005076530187	0.17165181423865	0.216914037229595	0.0848423781636157	0.832634846433333
ENSG00000003137	0.986933770974104	0.782476458694245	0.594309311403419	0.267624768315437	0.0326360714503491	0.551479275674998
ENSG00000003147	0.432595534891241	0.676739061046996	0.985993380994902	0.274452664424038	0.164358282619741	0.431554639675172
ENSG00000003249	0.000196565537777973	0.0695537963328025	0.852742062663337	0.357254861752801	0.0820999749893982	0.00410860021700877
ENSG00000003393	0.0622576404224666	0.934512264283335	0.394130242507757	0.322963745175897	0.00267059204101858	0.517379763300593
ENSG00000003400	0.952526554889687	0.760034543250213	0.597238971564982	0.364662309116574	0.912628735577878	0.431393913574163
ENSG00000003402	0.0710981967700901	0.35417987281752	0.494354386953296	0.185242123118114	0.0435166407838986	0.968145818841135
ENSG00000003436	0.876324373880696	0.261809390497491	0.245539686352526	0.798179530821853	0.807938775145539	0.77805462404333
ENSG00000003509	0.189857620799917	0.784624672388971	0.390801004696505	0.272945012597547	0.0306090390206455	0.788472255930927
ENSG00000003756	0.0667984033410235	0.720890333701601	0.570277201557159	0.238573920705015	0.0265298593843399	0.297525019189429
ENSG00000003987	0.608171437497043	0.845468643063818	0.893023050445913	0.212873680462559	0.821482363228303	0.342997339216058
ENSG00000003989	0.906623157387525	0.312373481846542	0.446869589572434	0.000393139892822602	0.0323027947552256	0.583425897665241
ENSG00000004059	0.224738974203688	0.548479381949991	0.762045571076287	0.560624624092241	0.0734973216783839	0.826947029692402
ENSG00000004139	0.204048995267372	0.507913503444243	0.984314957276665	0.827077101566795	0.513629027003441	0.293599699882768
ENSG00000004142	0.37225354936121	0.532348770654767	0.832244706277892	0.121398769075332	0.0647557918101331	0.487750219079413
ENSG00000004399	0.577244194213222	0.0682116678014432	0.232769055614999	0.211506871860384	0.833501709431209	0.804696826364617
ENSG00000004455	0.227666754377961	0.443356499153267	0.682085517340026	0.175368957823618	0.046392084998031	0.470132910877434
ENSG00000004468	0.55152912068157	0.341953199120238	0.425714100660843	0.38897906220758	0.0505068656897486	0.654821359543737
ENSG00000004478	0.0376609347837928	0.96428902193302	0.553495507132772	0.906615577589031	0.00605872233344841	0.518854978013745
ENSG00000004487	0.11939392218989	0.99072509934608	0.539168248503267	0.644883256968463	0.00697896027097495	0.612483108047449
ENSG00000004534	0.0738211023724474	0.781256914040544	0.541380756967784	0.410290958991678	0.0129853761312438	0.519424608009472
ENSG00000004660	0.0940395201065016	0.499652932592131	0.907700698562296	0.450071781072619	0.00636414232169326	0.350285445688427
ENSG00000004700	0.583838552597105	0.56718214618672	0.768699890961468	0.00608856990400204	0.0377045215256204	0.95466679473119
