gene_expression,n,DE_pattern,DE_pattern_index,replicate,method,method,sensitivity,fdr,number_of_true_discoveries_ct1,number_of_true_discoveries_ct2,number_of_true_discoveries_ct3,number_of_true_discoveries_ct4,number_of_true_discoveries_ct5,number_of_true_discoveries_ct6,number_of_discoveries_ct1,number_of_discoveries_ct2,number_of_discoveries_ct3,number_of_discoveries_ct4,number_of_discoveries_ct5,number_of_discoveries_ct6,power_ct1,power_ct2,power_ct3,power_ct4,power_ct5,power_ct6,type_I_error_ct1,type_I_error_ct2,type_I_error_ct3,type_I_error_ct4,type_I_error_ct5,type_I_error_ct6,Elapsed_Time_sec,Peak_RAM_Used_MiB
low,50,2_1_1,1,1,CARseq_ICeDT,1,0.00349040139616056,0.976190476190476,0,2,0,0,0,0,0,80,1,2,0,1,0.0191972076788831,0.0837696335078534,0.0261780104712042,0.0418848167539267,0.0226876090750436,0.0279232111692845,0.019501625135428,0.044781509570242,0.0332249909714698,0.0415312387143373,0.0299747201155652,0.0353918382087396,NA,NA
medium,50,2_1_1,1,1,CARseq_ICeDT,1,0.0144927536231884,0.880952380952381,0,10,0,0,0,0,0,80,1,2,0,1,0.0260869565217391,0.195652173913043,0.027536231884058,0.0347826086956522,0.0449275362318841,0.0347826086956522,0.0317340385341896,0.061579146203249,0.0366452587835285,0.0321118247072157,0.0343785417453721,0.0423120513789195,NA,NA
high,50,2_1_1,1,1,CARseq_ICeDT,1,0.0797297297297297,0.297619047619048,0,59,0,1,0,0,0,80,1,2,0,1,0.0324324324324324,0.340540540540541,0.0324324324324324,0.0256756756756757,0.0337837837837838,0.0459459459459459,0.0312259059367772,0.0585967617579029,0.0397070161912105,0.0416345412490362,0.0404780262143408,0.0443330763299923,NA,NA
low,50,2_1_1,1,2,CARseq_ICeDT,1,0.0335097001763668,0.930909090909091,0,19,0,0,0,0,0,275,0,0,0,0,0.0476190476190476,0.153439153439153,0.0282186948853616,0.0405643738977072,0.0282186948853616,0.0511463844797178,0.0498194945848375,0.059927797833935,0.0357400722021661,0.0339350180505415,0.040072202166065,0.0404332129963899,NA,NA
medium,50,2_1_1,1,2,CARseq_ICeDT,1,0.0840840840840841,0.796363636363636,0,56,0,0,0,0,0,275,0,0,0,0,0.0570570570570571,0.282282282282282,0.039039039039039,0.0375375375375375,0.036036036036036,0.036036036036036,0.0587794833395732,0.059153874953201,0.0423062523399476,0.0434294271808311,0.0370647697491576,0.0400599026581805,NA,NA
high,50,2_1_1,1,2,CARseq_ICeDT,1,0.209908735332464,0.414545454545455,0,161,0,0,0,0,0,275,0,0,0,0,0.0417209908735332,0.474576271186441,0.0352020860495437,0.045632333767927,0.0352020860495437,0.0352020860495437,0.058411214953271,0.0689252336448598,0.043613707165109,0.0401090342679128,0.0389408099688473,0.0373831775700935,NA,NA
low,50,2_1_1,1,3,CARseq_ICeDT,1,0.0136752136752137,0.945205479452055,0,8,0,0,0,0,0,146,0,0,0,0,0.0444444444444444,0.128205128205128,0.0358974358974359,0.0324786324786325,0.0307692307692308,0.0478632478632479,0.042483660130719,0.0493827160493827,0.032316630355846,0.037763253449528,0.0334059549745824,0.0334059549745824,NA,NA
medium,50,2_1_1,1,3,CARseq_ICeDT,1,0.0444104134762634,0.801369863013699,0,29,0,0,0,0,0,146,0,0,0,0,0.0459418070444104,0.240428790199081,0.0413476263399694,0.0459418070444104,0.0597243491577335,0.0382848392036753,0.051043219076006,0.0614754098360656,0.0428464977645306,0.0439642324888227,0.0469448584202683,0.0465722801788376,NA,NA
high,50,2_1_1,1,3,CARseq_ICeDT,1,0.124508519003932,0.349315068493151,0,95,0,0,0,0,0,146,0,0,0,0,0.053735255570118,0.424639580602883,0.0380078636959371,0.0340760157273919,0.036697247706422,0.0340760157273919,0.0598755832037325,0.072706065318818,0.0346034214618974,0.0353810264385692,0.0458786936236392,0.0412130637636081,NA,NA
low,50,2_1_1,1,4,CARseq_ICeDT,1,0.00168067226890756,0.96875,0,1,0,0,0,0,0,29,3,0,0,0,0.0352941176470588,0.0823529411764706,0.0504201680672269,0.0403361344537815,0.0319327731092437,0.0168067226890756,0.0335889010587806,0.0357794815626141,0.0394304490690033,0.0303030303030303,0.0416210295728368,0.0219058050383352,NA,NA
