n,DE_pattern,DE_pattern_index,replicate,method,sensitivity,fdr,number_of_true_discoveries_ct1,number_of_true_discoveries_ct2,number_of_true_discoveries_ct3,number_of_true_discoveries_ct4,number_of_true_discoveries_ct5,number_of_true_discoveries_ct6,number_of_discoveries_ct1,number_of_discoveries_ct2,number_of_discoveries_ct3,number_of_discoveries_ct4,number_of_discoveries_ct5,number_of_discoveries_ct6,power_ct1,power_ct2,power_ct3,power_ct4,power_ct5,power_ct6,type_I_error_ct1,type_I_error_ct2,type_I_error_ct3,type_I_error_ct4,type_I_error_ct5,type_I_error_ct6
50,2_1_1,1,401,CARseq_with_RIN,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0.0325,0.1345,0.027,0.033,0.0325,0.032,0.0337542192774097,0.0386298287285911,0.0355044380547568,0.035879484935617,0.032504063007876,0.0378797349668709
50,2_1_1,1,401,CARseq_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.0685,0.0165,0.0155,0.025,0.0175,0.018625,0.01775,0.016375,0.019125,0.0245,0.0205
50,2_1_1,1,401,TOAST_TPM_with_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0555,0.1285,0.0585,0.0475,0.055,0.0415,0.049375,0.046625,0.049,0.04,0.039125,0.04575
50,2_1_1,1,401,TOAST_TPM_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0345,0.079,0.0255,0.0215,0.034,0.0215,0.032375,0.026125,0.021625,0.02125,0.030875,0.027
50,2_1_1,1,401,csSAM,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,402,CARseq_with_RIN,0.0395,0.102272727272727,0,79,0,0,0,0,0,87,0,1,0,0,0.045,0.235,0.0375,0.0275,0.0335,0.0385,0.054,0.0485,0.041375,0.02925,0.040875,0.04575
50,2_1_1,1,402,CARseq_without_RIN,0.001,0,0,2,0,0,0,0,0,2,0,0,0,0,0.0225,0.126,0.0285,0.0145,0.019,0.0135,0.0255,0.02425,0.028,0.0155,0.02225,0.02125
50,2_1_1,1,402,TOAST_TPM_with_RIN,0.005,0.0909090909090909,0,10,0,0,0,0,0,11,0,0,0,0,0.04,0.1695,0.042,0.036,0.0465,0.0385,0.043375,0.037875,0.040625,0.03975,0.050125,0.04475
50,2_1_1,1,402,TOAST_TPM_without_RIN,0.001,0,0,2,0,0,0,0,0,2,0,0,0,0,0.015,0.106,0.028,0.018,0.0265,0.019,0.024625,0.02125,0.035625,0.023,0.031625,0.02425
50,2_1_1,1,402,csSAM,0.0045,0.1,0,9,0,0,0,0,0,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,403,CARseq_with_RIN,0.017,0.0285714285714286,0,34,0,0,0,0,0,35,0,0,0,0,0.042,0.214,0.0385,0.0335,0.0355,0.044,0.0483810476309539,0.0500062507813477,0.0368796099512439,0.0355044380547568,0.040630078759845,0.0423802975371921
50,2_1_1,1,403,CARseq_without_RIN,0.001,0,0,2,0,0,0,0,0,2,0,0,0,0,0.0225,0.1295,0.021,0.029,0.036,0.0185,0.024625,0.025,0.02125,0.027,0.042625,0.02375
50,2_1_1,1,403,TOAST_TPM_with_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0425,0.119,0.038,0.05,0.041,0.0445,0.038625,0.0425,0.03975,0.051375,0.045375,0.045375
50,2_1_1,1,403,TOAST_TPM_without_RIN,5e-04,0,0,1,0,0,0,0,0,1,0,0,0,0,0.027,0.1155,0.0305,0.0285,0.045,0.0255,0.020375,0.02525,0.024875,0.02775,0.04025,0.026
50,2_1_1,1,403,csSAM,0.001,0.5,0,2,0,2,0,0,0,2,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,404,CARseq_with_RIN,0.0085,0.0555555555555556,0,17,0,0,0,0,0,18,0,0,0,0,0.0355,0.181,0.0435,0.027,0.0355,0.0215,0.0428803600450056,0.0475059382422803,0.0450056257032129,0.0321290161270159,0.0365045630703838,0.0221277659707463
50,2_1_1,1,404,CARseq_without_RIN,5e-04,0,0,1,0,0,0,0,0,1,0,0,0,0,0.024,0.146,0.028,0.046,0.0275,0.025,0.0297537192149019,0.053506688336042,0.025753219152394,0.0452556569571196,0.0311288911113889,0.0192524065508189
50,2_1_1,1,404,TOAST_TPM_with_RIN,5e-04,0,0,1,0,0,0,0,0,1,0,0,0,0,0.045,0.1115,0.059,0.0485,0.05,0.0565,0.047875,0.046875,0.04575,0.042625,0.04825,0.05175
50,2_1_1,1,404,TOAST_TPM_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.099,0.0355,0.0495,0.0445,0.06,0.031125,0.03225,0.0305,0.05075,0.050375,0.0635
50,2_1_1,1,404,csSAM,0,1,0,0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,405,CARseq_with_RIN,0.041,0.0888888888888889,1,82,0,0,0,0,1,89,0,0,0,0,0.033,0.213,0.033,0.0355,0.0395,0.039,0.0402600650162541,0.0475118779694924,0.0362590647661915,0.0397599399849963,0.0438859714928732,0.0380095023755939
50,2_1_1,1,405,CARseq_without_RIN,0.005,0,0,10,0,0,0,0,0,10,0,0,0,0,0.021,0.1385,0.021,0.0525,0.0185,0.029,0.018125,0.026125,0.0245,0.05175,0.025,0.024125
50,2_1_1,1,405,TOAST_TPM_with_RIN,0.001,0.5,0,2,0,0,0,1,1,2,0,0,0,1,0.052,0.1055,0.0325,0.0545,0.0395,0.033,0.0425,0.03025,0.038625,0.041875,0.04025,0.038125
