n,DE_pattern,DE_pattern_index,replicate,method,sensitivity,fdr,number_of_true_discoveries_ct1,number_of_true_discoveries_ct2,number_of_true_discoveries_ct3,number_of_true_discoveries_ct4,number_of_true_discoveries_ct5,number_of_true_discoveries_ct6,number_of_discoveries_ct1,number_of_discoveries_ct2,number_of_discoveries_ct3,number_of_discoveries_ct4,number_of_discoveries_ct5,number_of_discoveries_ct6,power_ct1,power_ct2,power_ct3,power_ct4,power_ct5,power_ct6,type_I_error_ct1,type_I_error_ct2,type_I_error_ct3,type_I_error_ct4,type_I_error_ct5,type_I_error_ct6
50,2_1_1,1,301,CARseq_with_RIN,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.037,0.1085,0.0385,0.0365,0.0365,0.038,0.037625,0.03625,0.040875,0.03775,0.0375,0.040125
50,2_1_1,1,301,CARseq_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0215,0.057,0.0205,0.0185,0.026,0.02,0.020125,0.016125,0.01825,0.019375,0.027125,0.022625
50,2_1_1,1,301,TOAST_TPM_with_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0555,0.1285,0.0585,0.0475,0.055,0.0415,0.049375,0.046625,0.049,0.04,0.039125,0.04575
50,2_1_1,1,301,TOAST_TPM_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0345,0.079,0.0255,0.0215,0.034,0.0215,0.032375,0.026125,0.021625,0.02125,0.030875,0.027
50,2_1_1,1,301,csSAM,0.001,0,0,2,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,302,CARseq_with_RIN,0.0155,0.114285714285714,0,31,0,0,0,0,0,34,0,1,0,0,0.0555,0.1875,0.0475,0.0335,0.038,0.041,0.06075,0.0455,0.04725,0.031,0.049375,0.050375
50,2_1_1,1,302,CARseq_without_RIN,5e-04,0,0,1,0,0,0,0,0,1,0,0,0,0,0.028,0.099,0.0385,0.0175,0.023,0.0165,0.0295,0.0225,0.032375,0.015875,0.0265,0.024375
50,2_1_1,1,302,TOAST_TPM_with_RIN,0.005,0.0909090909090909,0,10,0,0,0,0,0,11,0,0,0,0,0.04,0.1695,0.042,0.036,0.0465,0.0385,0.043375,0.037875,0.040625,0.03975,0.050125,0.04475
50,2_1_1,1,302,TOAST_TPM_without_RIN,0.001,0,0,2,0,0,0,0,0,2,0,0,0,0,0.015,0.106,0.028,0.018,0.0265,0.019,0.024625,0.02125,0.035625,0.023,0.031625,0.02425
50,2_1_1,1,302,csSAM,0.008,0.111111111111111,0,16,0,0,0,0,0,17,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,303,CARseq_with_RIN,0.009,0.0526315789473685,0,18,0,0,0,0,0,19,0,0,0,0,0.0545,0.173,0.051,0.0405,0.0445,0.0495,0.0531316414551819,0.0493811726465808,0.0421302662832854,0.038254781847731,0.0461307663457932,0.0472559069883735
50,2_1_1,1,303,CARseq_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0.0985,0.0265,0.0325,0.0385,0.0255,0.028125,0.0235,0.025,0.028125,0.049,0.026875
50,2_1_1,1,303,TOAST_TPM_with_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0425,0.119,0.038,0.05,0.041,0.0445,0.038625,0.0425,0.03975,0.051375,0.045375,0.045375
50,2_1_1,1,303,TOAST_TPM_without_RIN,5e-04,0,0,1,0,0,0,0,0,1,0,0,0,0,0.027,0.1155,0.0305,0.0285,0.045,0.0255,0.020375,0.02525,0.024875,0.02775,0.04025,0.026
50,2_1_1,1,303,csSAM,0.001,0.5,0,2,0,2,0,0,0,2,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,304,CARseq_with_RIN,0.004,0.2,0,8,0,0,1,0,0,8,0,0,2,0,0.045,0.1475,0.0505,0.0305,0.04,0.024,0.0486310788848606,0.0451306413301663,0.0491311413926741,0.0353794224278035,0.0407550943867983,0.0270033754219277
50,2_1_1,1,304,CARseq_without_RIN,5e-04,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0295,0.119,0.0315,0.0475,0.032,0.027,0.032375,0.04825,0.0285,0.046375,0.037125,0.023625
50,2_1_1,1,304,TOAST_TPM_with_RIN,5e-04,0,0,1,0,0,0,0,0,1,0,0,0,0,0.045,0.1115,0.059,0.0485,0.05,0.0565,0.047875,0.046875,0.04575,0.042625,0.04825,0.05175
50,2_1_1,1,304,TOAST_TPM_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.099,0.0355,0.0495,0.0445,0.06,0.031125,0.03225,0.0305,0.05075,0.050375,0.0635
50,2_1_1,1,304,csSAM,0.002,0.692307692307692,0,4,0,0,0,2,0,6,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,305,CARseq_with_RIN,0.013,0.103448275862069,1,26,0,0,0,0,1,28,0,0,0,0,0.0395,0.1795,0.039,0.0415,0.0445,0.0435,0.0462615653913478,0.0461365341335334,0.0421355338834709,0.0458864716179045,0.0467616904226057,0.0425106276569142
50,2_1_1,1,305,CARseq_without_RIN,0.002,0,0,4,0,0,0,0,0,4,0,0,0,0,0.0225,0.1085,0.0255,0.061,0.019,0.033,0.0195,0.02475,0.02975,0.060125,0.02625,0.02575
50,2_1_1,1,305,TOAST_TPM_with_RIN,0.001,0.5,0,2,0,0,0,1,1,2,0,0,0,1,0.052,0.1055,0.0325,0.0545,0.0395,0.033,0.0425,0.03025,0.038625,0.041875,0.04025,0.038125
50,2_1_1,1,305,TOAST_TPM_without_RIN,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0.0225,0.0975,0.031,0.08,0.024,0.0275,0.01875,0.024,0.034125,0.0685,0.026625,0.0295
50,2_1_1,1,305,csSAM,0.0015,0.25,0,3,0,0,0,0,0,3,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,306,CARseq_with_RIN,0.011,0.12,0,22,0,0,0,0,0,25,0,0,0,0,0.051,0.162,0.044,0.0265,0.039,0.042,0.0485,0.042,0.0435,0.028625,0.0395,0.03375
50,2_1_1,1,306,CARseq_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0235,0.112,0.0235,0.0765,0.018,0.0205,0.0270033754219277,0.0286285785723215,0.0238779847480935,0.0743842980372547,0.0203775471933992,0.0180022502812852
50,2_1_1,1,306,TOAST_TPM_with_RIN,0.0025,0.166666666666667,0,5,0,0,0,0,0,6,0,0,0,0,0.056,0.1445,0.0665,0.0765,0.047,0.046,0.051,0.042125,0.054875,0.061625,0.05025,0.04375
50,2_1_1,1,306,TOAST_TPM_without_RIN,0,1,0,0,0,44,0,0,0,0,0,196,0,0,0.03,0.102,0.03,0.1465,0.039,0.027,0.03,0.02275,0.029,0.145875,0.0275,0.027125
50,2_1_1,1,306,csSAM,0,1,0,0,0,5,0,0,0,0,0,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,307,CARseq_with_RIN,0,1,3,0,0,1,0,0,3,0,0,2,0,0,0.0535,0.153,0.0495,0.036,0.032,0.0435,0.0513814226778347,0.0397549693711714,0.054506813351669,0.0388798599824978,0.0407550943867983,0.0485060632579072
50,2_1_1,1,307,CARseq_without_RIN,0,1,2,0,0,1,0,0,2,0,0,1,0,0,0.0445,0.0955,0.0375,0.024,0.0325,0.023,0.045125,0.021875,0.03475,0.03125,0.039,0.028625
50,2_1_1,1,307,TOAST_TPM_with_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0.1355,0.066,0.049,0.039,0.0395,0.04325,0.04925,0.05625,0.0485,0.047,0.043875
50,2_1_1,1,307,TOAST_TPM_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0525,0.0945,0.0415,0.0405,0.027,0.026,0.03825,0.026125,0.034625,0.03475,0.034375,0.0245
50,2_1_1,1,307,csSAM,0.0035,0,0,7,0,0,0,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,308,CARseq_with_RIN,0.01,0,0,20,0,0,0,0,0,20,0,0,0,0,0.04,0.1375,0.0455,0.0315,0.0335,0.041,0.0375046880860107,0.0332541567695962,0.047755969496187,0.0310038754844356,0.0413801725215652,0.038254781847731
50,2_1_1,1,308,CARseq_without_RIN,0.001,0,0,2,0,0,0,0,0,2,0,0,0,0,0.048,0.1465,0.0525,0.0695,0.054,0.027,0.048125,0.059875,0.049125,0.074125,0.060375,0.02775
50,2_1_1,1,308,TOAST_TPM_with_RIN,0.006,0.0769230769230769,0,12,0,0,0,0,0,13,0,0,0,0,0.052,0.1425,0.054,0.049,0.047,0.0505,0.04925,0.046125,0.048125,0.040625,0.043125,0.0455
50,2_1_1,1,308,TOAST_TPM_without_RIN,0.051,0.389221556886228,0,102,0,0,0,0,2,164,1,0,0,0,0.104,0.242,0.083,0.1205,0.0465,0.03,0.085375,0.14725,0.06675,0.112625,0.0495,0.031
