Input Sample,Astro,Exc,Inh,Micro,Oligo,OPC,P-value,Pearson Correlation,RMSE
MSSM_RNA_PFC_1,0.07015986856240639,0.6052754669107083,0.009399471586130751,0.008880171624797043,0.30628502131595753,0,0,0.5916600768281504,0.8065598876696625
MSSM_RNA_PFC_10,0.06854262947564818,0.7576206525684216,0.021403199956728815,0.010603290202976602,0.1418302277962248,0,0,0.7300831884471417,0.7879035275251322
MSSM_RNA_PFC_100,0.10273332828953784,0.6395814009037117,0.0057531763969622205,0.009182178223918777,0.2427499161858695,0,0,0.5722001810590267,0.8228182272298724
MSSM_RNA_PFC_101,0.09196181998901845,0.8304830234157957,0.011371673733105615,0.0046862814166473135,0.06149720144543287,0,0,0.5719831116601354,0.8862119561077535
MSSM_RNA_PFC_102,0.06214747627541749,0.751697674882454,0.0060221196839707215,0.009852112531792037,0.1702806166263658,0,0,0.6614551940971164,0.7998125127230202
MSSM_RNA_PFC_106,0.08739286956946266,0.6399150939115702,0.0031437112924356716,0,0.2695483252265313,0,0,0.5593043390151626,0.8289713792699337
MSSM_RNA_PFC_108,0.07564765960928797,0.7973294296508597,0.01457444571312321,0.009559650707112077,0.10288881431961709,0,0,0.4632398051529385,0.9054327536878171
MSSM_RNA_PFC_109,0.1617534456049927,0.7691295430520201,0.0040490564765215155,0.013053662057744851,0.05201429280872085,0,0,0.33957921488626924,0.9497178386259074
MSSM_RNA_PFC_11,0.08225047871271708,0.7869497007375024,0.0325614239562273,0,0.0982383965935532,0,0,0.6323750217159326,0.8526390152782605
MSSM_RNA_PFC_110,0.10653143803876741,0.7981361818614809,0.01508179427782162,0.0002,0.08003711801488342,0,0,0.5063791770014442,0.8993580701243793
MSSM_RNA_PFC_111,0.07112938293795848,0.7984916298753297,0.015383065225980505,0.008615223124641757,0.10638069883608961,0,0,0.4525153846126502,0.907893976664343
MSSM_RNA_PFC_112,0.0664716562392521,0.8727298923791866,0.023948525410629373,0,0.03684992597093198,0,0,0.6100775664045822,0.8808086686048399
MSSM_RNA_PFC_113,0.06695789091448039,0.7532413319292054,0.01709039804006128,0.008685498207876178,0.15402488090837668,0,0,0.49922992178193837,0.8787623680382587
MSSM_RNA_PFC_114,0.07203838260629883,0.7519909132728514,0.022870001361247637,0.013696690575981345,0.13940401218362075,0,0,0.5580508134802908,0.8602549692301085
MSSM_RNA_PFC_116,0.2301331160934361,0.6775562832435443,0.009132306712808102,0.004140647595459987,0.0790376463547515,0,0,0.3660422022374079,0.9398444593569147
MSSM_RNA_PFC_117,0.09114952925780238,0.7219730291783362,0.03330672723825518,0.011000463285605857,0.14257025104000046,0,0,0.5798529634883632,0.8508941661474456
MSSM_RNA_PFC_118,0.07879264158711637,0.7947482014132771,0.01859730545698079,0.01585161398206115,0.09201023756056463,0,0,0.5103057374336242,0.8942722019331174
MSSM_RNA_PFC_119,0.04112056107782278,0.8629573360897295,0.0280526011578318,0.002164456840840768,0.06570504483377518,0,0,0.6371306596978153,0.8632414821022123
MSSM_RNA_PFC_12,0.08066581530149478,0.8059186210005026,0.01883899979455684,0.008455779368440578,0.08612078453500524,0,0,0.4347598038673982,0.9182058496216284
MSSM_RNA_PFC_120,0.06200574034279609,0.8134526622136565,0.030371427501342432,0.006183851754478032,0.0879863181877269,0,0,0.6695447460541212,0.845131347569077
MSSM_RNA_PFC_121,0.11019041269536521,0.791473475296348,0.015073350771527104,0.007939619085963728,0.07532314215079591,0,0,0.4434937613842674,0.9187184839075454
MSSM_RNA_PFC_122,0.1285896567970801,0.7815427059296552,0.008167895943791526,0.01084202327218259,0.07085771805729058,0,0,0.34927079918508736,0.944920647458241
MSSM_RNA_PFC_123,0.12070176147157621,0.7375001717644467,0.022959016455587806,0.017928868809970553,0.098037899850868,0.0028722816475507743,0,0.4404415883140344,0.9148338420504765
MSSM_RNA_PFC_124,0.10710456607595063,0.7204106130700528,0.012967538985582214,0,0.15951728186841438,0,0,0.555330110720323,0.853939017160113
MSSM_RNA_PFC_125,0.08611348259014279,0.8059178730231983,0.035024678458565404,0.014674834847737829,0.05475914050604491,0.0035099905743107055,0,0.40869504494130243,0.9316935925543725
MSSM_RNA_PFC_126,0.08556969605314153,0.7997095868474122,0.03673812155353406,0.002390527151893635,0.0755920683940186,0,0,0.5061023616569154,0.9006081432540518
MSSM_RNA_PFC_127,0.09325510875922643,0.7802923231078357,0.026003632432149953,0.007492801717200178,0.09295613398358778,0,0,0.6647753963073574,0.8459028947017261
MSSM_RNA_PFC_128,0.09389954251058032,0.7766174500626197,0.0108158667704768,0.0059537016741889204,0.11271343898213419,0,0,0.4803430511832736,0.8974742898145915
